gene1	gene2	PIP
LINC01549	ATP5PF	0.00925462731365683
LINC01549	LINC01697	0.0087543771885943
LINC01549	KRTAP19-7	0.00250125062531266
LINC01549	KRTAP8-1	0.00750375187593797
LINC01697	HUNK	0.000500250125062531
KRTAP27-1	SYNJ1	0.00650325162581291
URB1	PAXBP1-AS1	0.00750375187593797
LINC01674	LINC00945	0.00850425212606303
SAMSN1	LINC00945	0.00525262631315658
LINC00515	LINC00310	0.000250125062531266
RWDD2B	KCNE1	0.00200100050025012
C21orf62	KCNE1	0.0327663831915958
KRTAP19-7	RCAN1	0.00150075037518759
SAMSN1	LINC00160	0.0150075037518759
SAMSN1	LINC01436	0.00425212606303152
LIPI	CBR3-AS1	0.00300150075037519
KRTAP19-7	CBR3-AS1	0.0142571285642821
KRTAP19-5	MORC3	0.0107553776888444
SAMSN1	DSCR9	0.00375187593796898
CRYZL1	LINC01423	0.00600300150075038
LINC01549	LINC00114	0.000750375187593797
CXADR	BRWD1-AS1	0.00425212606303152
CLDN14	HMGN1	0.0120060030015008
CYYR1-AS1	GET1-SH3BGR	0.00225112556278139
LINC01549	LINC00323	0.00850425212606303
BRWD1	BACE2	0.0177588794397199
LINC01697	PCSEAT	0.00475237618809405
LINC01549	LINC00479	0.0110055027513757
CRYZL1	PRDM15	0.00500250125062531
PCSEAT	C2CD2	0.00250125062531266
LINC01549	ZNF295-AS1	0.00425212606303152
RIPK4	UMODL1	0.0105052526263132
BRWD1	UBASH3A	0.00675337668834417
LINC01549	LOC101930094	0.00925462731365683
SLC5A3	LOC101930094	0.00100050025012506
TMPRSS2	SLC37A1	0.00100050025012506
HMGN1	LINC01671	0.00200100050025012
KRTAP27-1	WDR4	0.00375187593796898
SIM2	PKNOX1	0.00425212606303152
WDR4	LINC01679	0.000750375187593797
ERVH48-1	RRP1B	0.000500250125062531
LOC110091777	AATBC	0.00325162581290645
CLIC6	AATBC	0.00150075037518759
DSCR9	AGPAT3	0.00150075037518759
SON	AIRE	0.00100050025012506
CYYR1-AS1	TRPM2	0.0117558779389695
SIM2	TRPM2	0.0072536268134067
LINC00114	TRPM2	0.0100050025012506
GET1-SH3BGR	TRPM2	0.00275137568784392
BACE2	TRPM2	0.00550275137568784
SYNJ1	LINC02575	0.000750375187593797
C21orf91-OT1	TSPEAR	0.0185092546273137
TRPM2	KRTAP10-1	0.00500250125062531
CLDN17	KRTAP10-8	0.0100050025012506
LINC01674	ITGB2-AS1	0.0140070035017509
GRIK1-AS1	LINC01547	0.011255627813907
KRTAP15-1	LINC00163	0.00175087543771886
GET1-SH3BGR	LINC00163	0.00600300150075038
LINC01678	LINC00163	0.00100050025012506
SETD4	PCBP3	0.0087543771885943
ERG	LOC101928796	0.000750375187593797
TMPRSS2	LOC101928796	0.00200100050025012
TRPM2	LOC101928796	0.00525262631315658
UBE2G2	LOC101928796	0.00450225112556278
D21S2088E	COL6A2	0.00950475237618809
ZNF295-AS1	COL6A2	0.00175087543771886
UMODL1	COL6A2	0.00650325162581291
TRPM2	COL6A2	0.00450225112556278
SAMSN1	FTCD	0.00275137568784392
LINC00160	FTCD	0.00225112556278139
TMPRSS15	SPATC1L	0.00125062531265633
LOC101928796	MCM3AP-AS1	0.00225112556278139
UBASH3A	MCM3AP	0.0157578789394697
LINC01671	DIP2A	0.0347673836918459
SOD1	PRMT2	0.0222611305652826
