gene1	gene2	PIP
OR5M9	TNKS1BP1	0.017
KRT8P41	GLYATL2	0.00433333333333333
TCP11L1	LRRN4CL	0.0203333333333333
TMEM41B	OTUB1	0.0263333333333333
FAM99A	MAP4K2	0.0415
RPL27A	TBX10	0.0131666666666667
TRAF6	LINC01537	0.0123333333333333
FIBIN	RAB30-DT	0.0153333333333333
NDUFC2-KCTD14	FZD4-DT	0.0025
MIR670HG	LOC102723838	0.00483333333333333
RHOG	CARD16	0.0406666666666667
PLEKHA7	MSANTD4	0.00333333333333333
CCDC73	PPP2R1B	0.0515
LINC02548	C11orf1	0.00866666666666667
SART1	DSCAML1	0.0766666666666667
B3GNT6	JAML	0.00183333333333333
LINC02746	PHLDB1	0.0283333333333333
USP35	PATE1	0.022
RPLP0P2	LINC02873	0.0111666666666667
MSANTD4	LOC100507548	0.00116666666666667
