gene1	gene2	PIP
PI4K2B	LINC02506	0.109304652326163
PHOX2B	SLAIN2	0.0407703851925963
LINC02353	MTHFD2L	0.0220110055027514
CSN1S2BP	LINC02483	0.00625312656328164
LINC02429	MRPL1	0.00325162581290645
LINC01094	NAA11	0.0125062531265633
LINC02505	COQ2	0.0260130065032516
LOC93622	HSD17B11	0.0200100050025013
FAM53A	DDIT4L	0.0100050025012506
OCIAD1	MCUB	0.00600300150075038
HTT	LOC729218	0.0135067533766883
SORCS2	LINC01365	0.0105052526263132
PAPSS1	ANKRD50	0.00400200100050025
NAAA	SCLT1	0.00650325162581291
SLAIN2	MGARP	0.0440220110055028
SCLT1	NAA15	0.00300150075037519
CAMK2D	RNF150	0.00100050025012506
SLC2A9	IL15	0.0227613806903452
KIAA1109	TLR2	0.0157578789394697
ARHGAP10	LINC02233	0.0375187593796898
NWD2	TMEM192	0.0270135067533767
KIAA1109	HAND2	0.0295147573786893
GUF1	LOC101928551	0.00150075037518759
LOC729558	TENM3-AS1	0.0117558779389695
EXOSC9	F11	0.00350175087543772
FGG	LINC01060	0.0100050025012506
