chr	gene1	gene2	PIP
chr2	COMMD1	VWC2L-IT1	0.139319659829915
chr6	PIM1	FBXO30-DT	0.139069534767384
chr9	SUSD1	MIR4478	0.130315157578789
chr3	SATB1-AS1	CCDC58	0.128314157078539
chr2	HIBCH	KANSL1L-AS1	0.125812906453227
chr19	LOC101928844	MYO1F	0.112806403201601
chr11	CSTF3-DT	LINC01537	0.110055027513757
chr4	PI4K2B	LINC02506	0.109304652326163
chr3	LOC100130207	SLC6A6	0.107053526763382
chr15	GOLGA8K	MYEF2	0.101050525262631
chr5	LINC02213	LINC01023	0.0972986493246623
chr13	ARL11	LINC00363	0.0962981490745373
chr19	TYROBP	SULT2B1	0.0945472736368184
chr6	LINC02570	PGC	0.0932966483241621
chr17	ZBTB4	LPO	0.0925462731365683
chr7	RSBN1L	KCP	0.0907953976988494
chr19	RYR1	CD37	0.088544272136068
chr2	ADI1	LINC01795	0.0860430215107554
chr7	ABCB4	CNPY1	0.0855427713856928
chr19	PPP5D1	KLK12	0.0847923961980991
chr2	C2orf42	DUSP19	0.0757878939469735
chr17	SGSM2	CD68	0.0747873936968484
chr5	LINC01948	LINC01170	0.0737868934467234
chr19	PRTN3	ZNF415	0.0730365182591296
chr7	RADIL	RP9	0.0710355177588794
chr11	TMEM151A	KCNE3	0.0707853926963482
chr2	LOC100505774	TGOLN2	0.0695347673836918
chr19	LINC01531	ZNF628	0.0687843921960981
chr3	SSUH2	ACVR2B-AS1	0.0667833916958479
chr12	LINC02444	SRRM4	0.0665332666333167
chr19	KASH5	FLT3LG	0.0665332666333167
chr7	GRM3	PTPRZ1	0.0662831415707854
chr10	PLCE1-AS2	SLC18A2	0.0645322661330665
chr9	WHRN	TOR1A	0.0642821410705353
chr6	LOC101927136	RNF146	0.064032016008004
chr6	H4C5	CEP57L1	0.0625312656328164
chr13	CLYBL-AS1	GRTP1-AS1	0.0622811405702851
chr16	OR1F1	LINC02180	0.0610305152576288
chr8	ARHGEF10	FUT10	0.0607803901950975
chr6	TMEM14C	PACRG-AS2	0.060280140070035
chr19	DYRK1B	SLC27A5	0.0600300150075038
chr5	LOC105374620	SAR1B	0.0595297648824412
chr9	LOC401557	LCN8	0.0590295147573787
chr15	KLF13	PEAK1	0.0582791395697849
chr17	TAOK1	LINC00511	0.0580290145072536
chr3	TTC21A	H1-10	0.0577788894447224
chr19	ZNF676	EXOC3L2	0.0567783891945973
chr12	C1RL-AS1	FIGNL2	0.056528264132066
chr5	LINC02213	SEMA6A-AS1	0.0562781390695348
chr5	LINC01023	SEMA6A-AS1	0.0562781390695348
chr6	H1-6	NFKBIL1	0.0560280140070035
chr7	LINC01392	NOM1	0.0552776388194097
chr11	ART1	VPS37C	0.0550275137568784
chr12	FGF6	RIC8B	0.0540270135067534
chr9	LINC01242	PTAR1	0.0537768884442221
chr2	SILC1	SERTAD2	0.0532766383191596
chr9	LINC01242	CNTFR	0.052776388194097
chr5	C5orf51	LINC02148	0.0520260130065033
chr20	C20orf96	TOP1	0.051775887943972
chr7	COA1	ZNF775	0.051775887943972
chr12	DUSP16	KMT2D	0.0515257628814407
chr2	CDCA7	SEPTIN2	0.0510255127563782
chr2	MARCO	RNF25	0.0505252626313157
chr17	SHBG	LOC101928475	0.0502751375687844
chr9	FRMPD1	MIR4291	0.0502751375687844
chr9	LOC100132077	LRSAM1	0.0500250125062531
chr19	TGFBR3L	ZNF805	0.0497748874437219
chr5	DCTN4	SIMC1	0.0492746373186593
chr6	TREML3P	GRM1	0.0485242621310655
chr8	RNF170	TOX	0.0482741370685343
chr15	SEMA6D	LINC00926	0.048024012006003
chr16	ZNF174	LOC101927131	0.0472736368184092
chr2	LINC01810	SLC20A1	0.0472736368184092
chr19	TGFBR3L	GMIP	0.0470235117558779
chr19	GMIP	ZNF805	0.0470235117558779
chr9	LINC00475	SUGT1P4-STRA6LP-CCDC180	0.0470235117558779
chr10	RBM17	ATP5F1C	0.0467733866933467
chr3	CTNNB1	ANKRD18DP	0.0467733866933467
chr15	GOLM2	LOC100128108	0.0462731365682841
chr10	SAR1A	LINC02655	0.0457728864432216
chr2	CLK1	SUMO1	0.0457728864432216
chr2	ANKRD20A8P	IDH1	0.0457728864432216
chr9	KIF24	EBLN3P	0.0455227613806903
chr5	TMCO6	ADRB2	0.0450225112556278
chr16	PRSS21	PKD1P3-NPIPA1	0.0447723861930965
chr15	USP3-AS1	MINAR1	0.0445222611305653
chr9	LINC01242	PRSS3	0.0445222611305653
