gene1	gene2	PIP
CLEC2D	GYS2	0.00300150075037519
CACNA1C-AS2	CACNB3	0.0192596298149075
DUSP16	KMT2D	0.0515257628814407
CACNA2D4	SCN8A	0.0420210105052526
C1RL-AS1	FIGNL2	0.056528264132066
C1R	LINC02381	0.0337668834417209
CLEC9A	NEUROD4	0.0400200100050025
AMN1	OR6C6	0.00175087543771886
FOXM1	PYM1	0.0237618809404702
KRT6C	DGKA	0.00550275137568784
RAD52	TSFM	0.0417708854427214
LOC100128253	TAFA2	0.0072536268134067
CLEC12A	PTPRR	0.0250125062531266
LINC02388	NAP1L1	0.00600300150075038
FAM66C	LINC02458	0.0375187593796898
MAP3K12	PLEKHG7	0.00350175087543772
GPRC5D-AS1	NUDT4P2	0.0110055027513757
C1R	RMST	0.00750375187593797
C2CD5	CASC18	0.00525262631315658
FGF6	RIC8B	0.0540270135067534
CACNA1C-AS1	UBE3B	0.0342671335667834
AMN1	VPS29	0.0187593796898449
OR6C6	VPS29	0.00175087543771886
KCCAT198	TRAFD1	0.0417708854427214
FLJ12825	OAS2	0.0072536268134067
KRT6A	SDS	0.0302651325662831
CRY1	NOS1	0.0417708854427214
LINC02444	SRRM4	0.0665332666333167
CLEC4E	MSI1	0.00275137568784392
SCYL2	DNAH10	0.0105052526263132
C12orf4	ZNF664-RFLNA	0.0227613806903452
GTSF1	ZNF664-RFLNA	0.0340170085042521
KRT6A	FZD10	0.00650325162581291
SLC15A5	NOC4L	0.0167583791895948
CDK2	LOC100130238	0.00650325162581291
