gene1	gene2	PIP
MGC4859	ELMO1-AS1	0.002
LINC02888	GCK	0.0276666666666667
MINDY4	VWC2	0.0236666666666667
GSDME	DDC	0.0403333333333333
AQP1	DDC-AS1	0.0196666666666667
AVL9	POM121C	0.00966666666666667
IGF2BP3	CROT	0.0141666666666667
DDC-AS1	ARPC1B	0.00633333333333333
ASL	ARPC1B	0.008
GJC3	PCOLCE-AS1	0.02
POM121C	TFR2	0.00983333333333333
NPC1L1	BMT2	0.00933333333333333
TMEM196	ST7	0.014
ABCB4	ASZ1	0.023
TFR2	CFTR	0.00733333333333333
LHFPL3	MESTIT1	0.0276666666666667
PNPLA8	PTN	0.0146666666666667
SNX10	KDM7A	0.001
CUX1	TAS2R3	0.0045
HOXA-AS2	CLEC5A	0.00983333333333333
CAV2	TRPV5	0.0408333333333333
POR	TAS2R40	0.00116666666666667
