gene1	gene2	PIP
KLHL33	PSME2	0.0175087543771886
OR4Q2	EGLN3	0.0152576288144072
LOC101927124	FANCM	0.0277638819409705
REC8	DNAAF2	0.00475237618809405
OR11H6	OTX2	0.00575287643821911
SUPT16H	OTX2	0.000250125062531266
KLHDC2	OTX2	0.0220110055027514
RTRAF	PPM1A	0.00950475237618809
OR6J1	EIF2S1	0.000250125062531266
REC8	ADAM20	0.00625312656328164
POLE2	ADAM20	0.00925462731365683
KTN1-AS1	ADAM20	0.0147573786893447
TMEM229B	PAPLN	0.0375187593796898
REC8	ABCD4	0.0277638819409705
TTC6	VASH1-AS1	0.01975987993997
LINC00648	LINC01629	0.0325162581290645
GEMIN2	SLIRP	0.0185092546273137
TMEM229B	SLIRP	0.0417708854427214
OR10G3	CALM1	0.00175087543771886
PIGH	CALM1	0.00200100050025012
TOMM20L	RIN3	0.024512256128064
APEX1	SERPINA9	0.00350175087543772
KLHDC2	TECPR2	0.0110055027513757
RPGRIP1	COA8	0.00125062531265633
NOP9	SIVA1	0.00900450225112556
ZFYVE26	PACS2	0.0332666333166583
