gene1	gene2	PIP
MIER3	ELOVL7	0.000833333333333333
TENT4A	FAM169A	0.00983333333333333
TENT4A	CKMT2	0.000833333333333333
LOC105379030	LINC02201	0.0278333333333333
CETN3	LINC02240	0.0035
LINC01386	CAMLG	0.0025
OSMR	TIFAB	0.00716666666666667
BRD9	MYOT	0.0165
LOC100506688	SPATA24	0.00483333333333333
MIER3	PCDHGA12	0.000666666666666667
SLC12A2	PCDHGA12	0.0505
PCDHGA12	PRELID2	0.00133333333333333
SCGB3A2	SLC6A7	0.02
ACSL6	CAMK2A	0.004
LINC02213	GM2A	0.008
LINC02104	GLRA1	0.0148333333333333
EGFLAM	LOC100288254	0.0168333333333333
IL4	LINC01942	0.00316666666666667
GDNF-AS1	RNF44	0.0433333333333333
NR3C1	RNF44	0.0256666666666667
LOC101929645	ZNF454	0.00966666666666667
