gene	pip	chr
LOC729737	0	1
LOC100288069	0	1
LINC01128	0	1
FAM41C	0	1
LINC02593	0	1
LOC107985728	0	1
SAMD11	0.140333333333333	1
NOC2L	0	1
KLHL17	0	1
PLEKHN1	0	1
PERM1	0	1
HES4	0	1
AGRN	0	1
LOC100288175	0	1
LOC105378948	0	1
RNF223	0	1
C1orf159	0	1
LINC01342	0	1
MIR429	0	1
TTLL10	0	1
TNFRSF18	0	1
TNFRSF4	0	1
SDF4	0	1
B3GALT6	0	1
C1QTNF12	0	1
UBE2J2	0	1
SCNN1D	0	1
ACAP3	0	1
PUSL1	0	1
INTS11	0	1
CPTP	0	1
TAS1R3	0	1
DVL1	0	1
MXRA8	0	1
AURKAIP1	0	1
CCNL2	0	1
MRPL20	0	1
ANKRD65	0	1
TMEM88B	0	1
LINC01770	0	1
VWA1	0	1
ATAD3C	0	1
ATAD3B	0	1
ATAD3A	0	1
TMEM240	0.0395	1
SSU72	0	1
MIB2	0	1
CDK11B	0	1
SLC35E2A	0	1
NADK	0	1
GNB1	0	1
LOC105378949	0	1
CALML6	0.0293333333333333	1
CFAP74	0	1
GABRD	0.337166666666667	1
PRKCZ	0	1
FAAP20	0	1
LOC112268219	0	1
SKI	0	1
MORN1	0	1
RER1	0	1
PEX10	0	1
PLCH2	0	1
PANK4	0	1
HES5	0	1
TNFRSF14	0	1
LOC100996583	0	1
PRXL2B	0	1
MMEL1	0	1
TTC34	0	1
ACTRT2	0	1
PRDM16-DT	0	1
PRDM16	0	1
ARHGEF16	0	1
MEGF6	0	1
TPRG1L	0	1
WRAP73	0	1
TP73	0	1
TP73-AS1	0	1
CCDC27	0	1
SMIM1	0	1
LRRC47	0.0505	1
CEP104	0	1
DFFB	0	1
C1orf174	0	1
LINC01134	0	1
LINC01346	0	1
LINC01777	0	1
LINC01646	0	1
AJAP1	0	1
NPHP4	0	1
KCNAB2	0	1
CHD5	0	1
RPL22	0	1
RNF207-AS1	0.0836666666666667	1
RNF207	0.0221666666666667	1
ICMT	0	1
GPR153	0	1
ACOT7	0	1
HES2	0	1
ESPN	0	1
TNFRSF25	0	1
PLEKHG5	0.037	1
NOL9	0	1
TAS1R1	0	1
ZBTB48	0	1
KLHL21	0	1
PHF13	0	1
THAP3	0	1
DNAJC11	0	1
LINC01672	0	1
CAMTA1	0	1
CAMTA1-AS2	0	1
VAMP3	0.219166666666667	1
PER3	0	1
UTS2	0	1
TNFRSF9	0.0303333333333333	1
PARK7	0	1
ERRFI1	0	1
LINC01714	0	1
SLC45A1	0.0556666666666667	1
RERE	0	1
RERE-AS1	0	1
ENO1	0	1
CA6	0	1
SLC2A7	0	1
SLC2A5	0	1
GPR157	0	1
MIR34AHG	0.023	1
LNCTAM34A	0	1
H6PD	0.0085	1
SPSB1	0.103666666666667	1
LINC02606	0	1
SLC25A33	0	1
TMEM201	0	1
PIK3CD	0.001	1
PIK3CD-AS2	0	1
CLSTN1	0	1
CTNNBIP1	0.00683333333333333	1
LZIC	0	1
NMNAT1	0	1
TMEM274P	0	1
RBP7	0	1
UBE4B	0	1
KIF1B	0	1
PGD	0	1
CENPS-CORT	0	1
DFFA	0	1
PEX14	0.143333333333333	1
CASZ1	0	1
C1orf127	0	1
TARDBP	0	1
MASP2	0	1
SRM	0	1
EXOSC10	0	1
EXOSC10-AS1	0	1
MTOR	0	1
UBIAD1	0	1
DISP3	0	1
LINC01647	0.0166666666666667	1
FBXO2	0	1
FBXO44	0	1
FBXO6	0	1
MAD2L2	0.00866666666666667	1
DRAXIN	0	1
AGTRAP	0	1
C1orf167	0	1
MTHFR	0	1
CLCN6	0	1
NPPA-AS1	0.073	1
RNU5E-1	0.0386666666666667	1
KIAA2013	0	1
PLOD1	0	1
MFN2	0	1
MIIP	0	1
TNFRSF8	0	1
TNFRSF1B	0	1
VPS13D	0	1
DHRS3	0	1
AADACL4	0	1
AADACL3	0	1
C1orf158	0	1
PRAMEF12	0	1
PRAMEF1	0	1
LINC01784	0	1
PRAMEF11	0	1
HNRNPCL1	0	1
PRAMEF2	0	1
PRAMEF4	0	1
PRAMEF18	0	1
PRAMEF17	0	1
PRAMEF20	0.0743333333333333	1
LRRC38	0	1
PDPN	0	1
PRDM2	0	1
KAZN-AS1	0	1
KAZN	0	1
TMEM51-AS1	0	1
TMEM51	0	1
C1orf195	0	1
FHAD1	0	1
FHAD1-AS1	0	1
EFHD2	0	1
CTRC	0	1
CELA2A	0	1
CELA2B	0	1
CASP9	0.0151666666666667	1
