gene1	gene2	PIP
IL32	ZNF597	0.028
FLYWCH1	NOMO3	0.0288333333333333
FLYWCH1	LCMT1-AS1	0.006
CDIP1	IL21R-AS1	0.0113333333333333
RSL1D1	NPIPB6	0.041
LINC02177	APOBR	0.00233333333333333
KDM8	APOBR	0.014
METTL9	CNEP1R1	0.000833333333333333
PMM2	NOD2	0.008
TPSB2	LINC02180	0.000833333333333333
CLEC19A	CASC16	0.0256666666666667
LOC400499	RPGRIP1L	0.00166666666666667
CNEP1R1	SLC6A2	0.0223333333333333
GDE1	CCDC102A	0.00466666666666667
NFATC2IP	LINC02126	0.0301666666666667
ATXN2L	TK2	0.00683333333333333
PRSS21	SMG1P7	0.00333333333333333
FLYWCH1	ZNF821	0.0186666666666667
PKMYT1	PMFBP1	0.0143333333333333
PDZD9	MLYCD	0.0188333333333333
APOBR	CYBA	5e-04
KCTD19	SNAI3-AS1	0.0268333333333333
CETP	LOC100289580	0.0196666666666667
LMF1	LOC101927793	0.0148333333333333
TBC1D10B	DEF8	0.007
