gene1	gene2	PIP
TLCD2	GABARAP	0.0508333333333333
AURKB	KCNJ12	0.0471666666666667
PIRT	SUZ12	0.0065
KCNJ12	HNF1B	0.0231666666666667
HIC1	KRT35	0.0155
VTN	MEIOC	0.0115
SLC25A39	OSBPL7	5e-04
RDM1	SGCA	0.00583333333333333
SHISA6	TMEM92-AS1	0.00283333333333333
DERL2	LUC7L3	0.0441666666666667
SNF8	LUC7L3	0.0158333333333333
SH3GL1P1	STXBP4	0.00766666666666667
CACNB1	MMD	0.0448333333333333
MYO15A	DYNLL2	0.0195
MAPT-AS1	LPO	0.00583333333333333
LPO	FTSJ3	0.0126666666666667
GIT1	PRR29-AS1	0.0243333333333333
TRARG1	PRKCA	0.0225
ALDH3A1	PRKCA	0.014
TANC2	PRKCA	0.004
STAT5A	CASKIN2	0.01
SUMO2	UNC13D	0.00683333333333333
DERL2	ACOX1	0.0163333333333333
ZSWIM7	LOC100507351	0.0136666666666667
PRPSAP2	LINC01973	0.0313333333333333
MRPL38	CBX8	0.0116666666666667
P3H4	CCDC40	0.0168333333333333
PIPOX	DUS1L	0.0025
SRSF1	FASN	0.0151666666666667
SUZ12P1	FOXK2	0.003
