genes	pip
FAM110C	0
SH3YL1	0
ACP1	0
ALKAL2	0.19559779889945
LINC01865	0
LOC100996637	0.03951975987994
LOC105373352	0
TMEM18	0
LINC01115	0
LINC01939	0
SNTG2	0
TPO	0
LOC102723730	0
PXDN	0
MYT1L	0
MYT1L-AS1	0
LINC01250	0
EIPR1	0
TRAPPC12	0
ADI1	0.0860430215107554
RNASEH1	0
RNASEH1-AS1	0
RPS7	0
COLEC11	0
ALLC	0
DCDC2C	0
LINC01304	0
LOC105373394	0.0460230115057529
LINC01249	0
LINC01248	0
SOX11	0
LINC01810	0.152576288144072
SILC1	0.289894947473737
LOC400940	0
LINC01247	0
LINC01246	0
MIR7515HG	0
LINC00487	0
NRIR	0
CMPK2	0
RSAD2	0
GRASLND	0
RNF144A	0
LOC101929452	0
LOC100506274	0
LOC101929551	0
LINC00298	0
LINC00299	0
LINC01814	0.0087543771885943
ID2-AS1	0
ID2	0
KIDINS220	0
MBOAT2	0
ASAP2	0
ITGB1BP1	0
CPSF3	0
IAH1	0
ADAM17	0
YWHAQ	0
TAF1B	0
GRHL1	0
KLF11	0
CYS1	0
RRM2	0
MIR4261	0
HPCAL1	0
ODC1	0
ODC1-DT	0
NOL10	0
RN7SL832P	0
ATP6V1C2	0.0215107553776888
PDIA6	0
LINC01954	0
FLJ33534	0
C2orf50	0
SLC66A3	0
ROCK2	0
LINC00570	0
E2F6	0
GREB1	0.0100050025012506
NTSR2	0
LPIN1	0
MIR4262	0.0255127563781891
MIR3681HG	0
TRIB2	0
LOC100506474	0
LINC00276	0
LRATD1	0
NBAS	0.0892946473236618
DDX1	0
LINC01804	0
MYCNUT	0
MYCN	0
GACAT3	0.153826913456728
CYRIA	0
RAD51AP2	0
VSNL1	0
SMC6	0
GEN1	0
MSGN1	0
KCNS3	0
LINC01376	0
OSR1	0
LINC00954	0
TTC32	0
WDR35	0
LOC101928222	0
MATN3	0
LAPTM4A	0
SDC1	0
PUM2	0
RHOB	0
LOC107985856	0
HS1BP3	0
GDF7	0
LDAH	0
APOB	0
TDRD15	0
LINC01822	0
KLHL29	0
ATAD2B	0
UBXN2A	0
MFSD2B	0
WDCP	0
FKBP1B	0
SF3B6	0
TP53I3	0
FAM228B	0
FAM228A	0
ITSN2	0
NCOA1	0
CENPO	0
ADCY3	0
DNAJC27	0
DNAJC27-AS1	0.028264132066033
EFR3B	0
POMC	0
LINC01381	0
DNMT3A	0
DTNB	0
ASXL2	0
KIF3C	0
RAB10	0
GAREM2	0.171085542771386
HADHA	0
HADHB	0.0190095047523762
ADGRF3	0
SELENOI	0
DRC1	0
OTOF	0
FAM166C	0
CIB4	0
KCNK3	0
SLC35F6	0
CENPA	0
DPYSL5	0.00900450225112556
MAPRE3	0
MAPRE3-AS1	0
AGBL5	0
EMILIN1	0
CGREF1	0
ABHD1	0
PREB	0
PRR30	0
TCF23	0
SLC5A6	0
ATRAID	0
CAD	0
SLC30A3	0
DNAJC5G	0
TRIM54	0
MPV17	0
GTF3C2	0
EIF2B4	0
SNX17	0
PPM1G	0
NRBP1	0
IFT172	0
GCKR	0
C2orf16	0
ZNF512	0
CCDC121	0
GPN1	0
SUPT7L	0.0330165082541271
SLC4A1AP	0
LINC01460	0
LOC105374378	0
RBKS	0
BABAM2	0
LOC100505736	0
FLJ31356	0
FOSL2	0
PLB1	0
LOC100505774	0.153076538269135
PPP1CB	0
SPDYA	0
TRMT61B	0
WDR43	0
TOGARAM2	0.000750375187593797
PCARE	0
CLIP4	0
ALK	0
LOC105374389	0
YPEL5	0
LBH	0
LINC01936	0
LCLAT1	0
CAPN13	0
GALNT14	0
CAPN14	0
EHD3	0
XDH	0
SRD5A2	0
LINC01946	0
MEMO1	0.0102551275637819
DPY30	0
SPAST	0
SLC30A6	0
NLRC4	0
YIPF4	0
BIRC6	0
BIRC6-AS2	0
TTC27	0.0297648824412206
LINC00486	0
LTBP1	0
MIR4430	0.195347673836918
RASGRP3	0
RASGRP3-AS1	0
FAM98A	0
LINC01317	0
MYADML	0
LINC01320	0
CRIM1	0
FEZ2	0
VIT	0
STRN	0
HEATR5B	0
GPATCH11	0
EIF2AK2	0.00350175087543772
SULT6B1	0
CEBPZOS	0
CEBPZ	0
NDUFAF7	0
PRKD3	0
QPCT	0
CDC42EP3	0
LINC00211	0
RMDN2	0
RMDN2-AS1	0
CYP1B1-AS1	0
ATL2	0
LINC01883	0.0255127563781891
LINC02613	0
HNRNPLL	0
GALM	0
SRSF7	0
GEMIN6	0.0192596298149075
DHX57	0
MORN2	0
ARHGEF33	0
SOS1	0
CDKL4	0.0205102551275638
MAP4K3	0
MAP4K3-DT	0
TMEM178A	0.0500250125062531
THUMPD2	0
SLC8A1-AS1	0
SLC8A1	0
LINC01913	0
C2orf91	0
PKDCC	0
EML4-AS1	0
EML4	0
COX7A2L	0.0882941470735368
KCNG3	0.0295147573786893
MTA3	0
OXER1	0.0132566283141571
HAAO	0
LINC01819	0.183091545772886
LINC02580	0.0332666333166583
ZFP36L2	0
LINC01126	0.194347173586793
THADA	0
PLEKHH2	0
DYNC2LI1	0
ABCG5	0
ABCG8	0
LRPPRC	0
PPM1B	0
SLC3A1	0
PREPL	0
CAMKMT	0
LINC01833	0
SIX2	0
LINC01121	0.0502751375687844
SRBD1	0.130565282641321
PRKCE	0
EPAS1	0
LINC01820	0
LINC02583	0
TMEM247	0
ATP6V1E2	0
RHOQ	0
RHOQ-AS1	0.147323661830915
PIGF	0.220860430215108
CRIPT	0
SOCS5	0
LINC01118	0
LINC01119	0
MCFD2	0
TTC7A	0
STPG4	0
CALM2	0
EPCAM-DT	0
EPCAM	0
MSH2	0
KCNK12	0
MSH6	0
FBXO11	0
FOXN2	0
PPP1R21	0.0910455227613807
STON1	0
STON1-GTF2A1L	0
FSHR	0.023511755877939
NRXN1	0
LOC730100	0
ASB3	0
GPR75-ASB3	0
PSME4	0.0222611305652826
ACYP2	0
C2orf73	0
SPTBN1	0
EML6	0.0692846423211606
RTN4	0
CLHC1	0
MTIF2	0
PRORSD1P	0
CCDC88A	0.150825412706353
CFAP36	0
PPP4R3B	0
PNPT1	0
EFEMP1	0
MIR217HG	0
LINC01813	0
LOC100129434	0.144822411205603
CCDC85A	0
VRK2	0
FANCL	0.0692846423211606
LINC01795	0.104302151075538
LINC01122	0
LINC01793	0
MIR4432HG	0
BCL11A	0
PAPOLG	0
LINC01185	0
REL	0
PUS10	0
PEX13	0
KIAA1841	0
LOC339803	0
C2orf74	0
AHSA2P	0
USP34	0
XPO1	0
FAM161A	0
CCT4	0
COMMD1	0.219859929964982
B3GNT2	0
TMEM17	0
EHBP1	0
OTX1	0
WDPCP	0.155327663831916
MDH1	0
UGP2	0
VPS54	0
PELI1	0
LINC00309	0.0080040020010005
LOC100507006	0
LGALSL	0
LINC01805	0
AFTPH	0.347173586793397
LINC02579	0
SERTAD2	0.0962981490745373
LINC01800	0
LINC02245	0
SLC1A4	0
CEP68	0
RAB1A	0
ACTR2	0
SPRED2	0
LINC01873	0
MEIS1-AS3	0
MEIS1	0
LINC01798	0
LINC01797	0
LINC01799	0
LINC01828	0
ETAA1	0.408454227113557
LINC01812	0
C1D	0
WDR92	0
PNO1	0
PPP3R1	0
CNRIP1	0
PLEK	0
APLF	0
PROKR1	0
ARHGAP25	0
BMP10	0
GKN2	0
GKN1	0.0130065032516258
ANTXR1	0
GFPT1	0.0497748874437219
NFU1	0
AAK1	0.0470235117558779
ANXA4	0
LOC107985770	0
GMCL1	0
SNRNP27	0
MXD1	0
PCBP1-AS1	0
LINC01816	0
C2orf42	0.404952476238119
TIA1	0
PCYOX1	0
SNRPG	0
FAM136A	0
TGFA	0
