gene1	gene2	PIP
RNASE10	SLC7A7	0.00383333333333333
PSMB11	DHRS4L2	0.0095
OR4K17	GMPR2	0.00633333333333333
JPH4	LOC101927045	0.0173333333333333
SUPT16H	NPAS3	0.0188333333333333
PSMB11	NPAS3	0.009
C14orf93	BAZ1A	0.0075
MIR4307HG	FKBP3	0.0103333333333333
SSTR1	FBXO34	0.00883333333333333
PSMB11	JKAMP	0.000666666666666667
CMTM5	RTN1	0.00433333333333333
DTD2	HIF1A-AS1	0.0095
DHRS1	MTHFD1	0.002
PYGL	RAB15	0.008
NEMF	CCDC196	0.00133333333333333
REC8	SMOC1	0.0115
DHRS4	LINC01220	0.00583333333333333
LINC01629	SAMD15	0.0165
LINC00871	C14orf178	0.00133333333333333
POLE2	C14orf178	0.028
POLE2	NRXN3	0.0025
RNASE10	SEL1L	0.00283333333333333
AP4S1	CALM1	0.00316666666666667
MBIP	CCDC88C	0.00233333333333333
SSTR1	CATSPERB	0.000333333333333333
C14orf39	CPSF2	0.00416666666666667
NEMF	PRIMA1	0.0143333333333333
ARG2	PRIMA1	0.01
SRP54-AS1	EML1	0.0146666666666667
MIS18BP1	DLK1	0.00566666666666667
IFI27L1	DLK1	0.0676666666666667
SLC39A9	MIR495	0.00466666666666667
ADAM20	MIR495	0.00583333333333333
MYH6	RCOR1	0.0025
EML1	AMN	0.000166666666666667
SLC25A29	LINC00605	0.0508333333333333
OTX2	XRCC3	0.0141666666666667
ADAM20	LINC00221	0.00833333333333333
