chr	gene	PIP
chr14	LINC01629	0.943971985992996
chr15	ATP8B4	0.928964482241121
chr16	FLYWCH1	0.902951475737869
chr14	CALM1	0.876938469234617
chr22	THAP7-AS1	0.872936468234117
chr20	DEFB115	0.857428714357179
chr21	LOC101928796	0.808404202101051
chr6	ARMC2-AS1	0.795397698849425
chr4	MTHFD2L	0.794147073536768
chr15	TMEM62	0.793896948474237
chr7	TMEM196	0.793646823411706
chr22	MIATNB	0.705102551275638
chr20	STK4	0.697848924462231
chr22	ASPHD2	0.667583791895948
chr11	CXCR5	0.660830415207604
chr4	SCLT1	0.650325162581291
chr5	PCDHGA12	0.637068534267134
chr5	LOC101929645	0.635817908954477
chr16	POLR2C	0.632816408204102
chr17	SUZ12	0.630315157578789
chr9	LINC01242	0.629064532266133
chr20	HRH3	0.602551275637819
chr10	TUBAL3	0.59479739869935
chr21	LINC00163	0.570785392696348
chr22	PIWIL3	0.562031015507754
chr14	REC8	0.561530765382691
chr9	DMRT1	0.553776888444222
chr5	EGFLAM-AS2	0.55327663831916
chr13	LINC00561	0.537018509254627
chr16	CDT1	0.535767883941971
chr17	LOC102723517	0.527513756878439
chr16	LINC02180	0.523011505752876
chr11	KRT8P41	0.522511255627814
chr5	DCTN4	0.519009504752376
chr17	TBC1D16	0.514507253626813
chr18	RBBP8	0.513256628314157
chr3	COPG1	0.499749874937469
chr2	LOC442028	0.494747373686843
chr7	LOC105369146	0.489994997498749
chr11	LINC00167	0.483991995997999
chr15	GABPB1-AS1	0.479489744872436
chr21	SAMSN1	0.457478739369685
chr13	LINC00426	0.454227113556778
chr12	KMT2D	0.449974987493747
chr5	PPP2R2B	0.436968484242121
chr10	TMEM254	0.429464732366183
chr16	IL17C	0.423211605802901
chr10	UCMA	0.421710855427714
chr8	KCNV1	0.418209104552276
chr21	TRPM2	0.416458229114557
chr13	LINC02338	0.412206103051526
chr2	ETAA1	0.408454227113557
chr2	C2orf42	0.404952476238119
chr2	ACVR1	0.402451225612806
chr13	CLYBL-AS1	0.401700850425213
chr8	LINC01605	0.401450725362681
chr11	LINC01537	0.40120060030015
