gene1	gene2	PIP
IDI2	UCMA	0.000333333333333333
ADARB2-AS1	SVIL-AS1	0.0296666666666667
NET1	CREM	0.011
PFKP	CCNY	0.000166666666666667
MLLT10	LOC283028	0.00666666666666667
LINC00708	ZNF22-AS1	0.0321666666666667
RBM17	OIT3	0.0186666666666667
HERC4	KCNMA1-AS3	0.033
FRMD4A	TMEM254	0.00333333333333333
FAM171A1	C10orf99	0.00416666666666667
MYOZ1	SHLD2	0.00116666666666667
UCMA	ANKRD22	0.057
FRMD4A	CYP26C1	0.00333333333333333
TMEM254	CYP26C1	0.0185
SFMBT2	PI4K2A	0.00333333333333333
STAM	ABCC2	0.000833333333333333
LOC105378311	DPCD	0.00116666666666667
BMS1P2-AGAP9	TRIM8	0.00366666666666667
SUV39H2	ITPRIP	0.0075
RBM17	ADRA2A	0.00716666666666667
REEP3	RAB11FIP2	0.00866666666666667
IFIT1B	RAB11FIP2	0.0153333333333333
LOXL4	PLPP4	0.0156666666666667
NPFFR1	WDR11	0.00633333333333333
ZEB1-AS1	C10orf90	0.0025
CYP26C1	MGMT	0.0113333333333333
WDR37	TUBGCP2	0.018
SH3PXD2A-AS1	MTG1	0.0136666666666667
