gene1	gene2	PIP
UBOX5-AS1	PRNP	0.00550275137568784
SCRT2	RASSF2	0.0220110055027514
DEFB129	LOC284788	0.0087543771885943
LAMP5-AS1	LNCNEF	0.0132566283141571
ANGPT4	LINC00656	0.00475237618809405
LOC284788	CST4	0.00525262631315658
CDS2	MIR663AHG	0.00175087543771886
CRNKL1	DEFB115	0.0072536268134067
SIRPA	DEFB116	0.011255627813907
NAA20	TP53INP2	0.0315157578789395
MGME1	CEP250	0.00675337668834417
MACROD2-AS1	LOC100128988	0.0155077538769385
C20orf96	TOP1	0.051775887943972
CST9L	SRSF6	0.0155077538769385
SLC52A3	WFDC5	0.00325162581290645
UBOX5-AS1	SLC12A5	0.00975487743871936
PAK5	SLC2A10	0.0165082541270635
CHD6	SLC2A10	0.0125062531265633
CST7	ZMYND8	0.0080040020010005
KIF3B	ZMYND8	0.0120060030015008
STK4	CSE1L	0.0187593796898449
TGIF2-RAB5IF	ZFAS1	0.0167583791895948
SNX5	PTGIS	0.00650325162581291
XRN2	RIPOR3	0.0087543771885943
LINC00851	KCNG1	0.000500250125062531
SLC2A10	ZFP64	0.00150075037518759
BANF2	NKILA	0.0215107553776888
SPATA25	PSMA7	0.0117558779389695
ADA	FLJ16779	0.00275137568784392
EIF2S2	MHENCR	0.00650325162581291
LINC01522	PRPF6	0.00475237618809405
SOX12	TCEA2	0.00200100050025012
