genes	pip
PLEKHG4B	0
LRRC14B	0.0840420210105053
CCDC127	0
SDHA	0
HRAT5	0
PDCD6-AHRR	0
EXOC3-AS1	0
EXOC3	0
SLC9A3-AS1	0
SLC9A3	0.0127563781890945
MIR4456	0
LOC100996325	0
CEP72	0.0177588794397199
TPPP	0
ZDHHC11B	0
ZDHHC11	0.121560780390195
BRD9	0
TRIP13	0
LOC100506688	0.00925462731365683
NKD2	0
SLC12A7	0
CTD-3080P12.3	0.0155077538769385
SLC6A19	0
SLC6A18	0
TERT	0
CLPTM1L	0
LINC01511	0
SLC6A3	0.103301650825413
LPCAT1	0
SDHAP3	0
LOC728613	0
MIR4277	0
NDUFS6	0
LINC02116	0
IRX4	0
CTD-2194D22.4	0
LOC100506858	0.00900450225112556
LSINCT5	0
IRX2	0
C5orf38	0
LOC105374620	0.0595297648824412
LINC01377	0
LINC01019	0
IRX1	0
LINC02114	0
LINC01020	0
LINC02121	0
CTD-2297D10.2	0
ADAMTS16	0
ICE1	0
LINC02145	0.0462731365682841
UBE2QL1	0
LINC01018	0
NSUN2	0
SRD5A1	0.0280140070035018
LINC02102	0
TENT4A	0
LINC02236	0
LOC442132	0
ADCY2	0
C5orf49	0
FASTKD3	0
MTRR	0
LINC02226	0
MIR4458HG	0
LINC02199	0
SEMA5A	0.0710355177588794
SEMA5A-AS1	0
SNHG18	0
LINC02112	0
ATPSCKMT	0
CCT5	0.0580290145072536
CMBL	0
MARCHF6	0
ROPN1L	0
MIR6131	0.00600300150075038
LINC02212	0
LINC02213	0.170585292646323
ANKRD33B	0
DAP	0
CTNND2	0
LINC01194	0.106553276638319
LINC02220	0
DNAH5	0
TRIO	0
OTULINL	0.0115057528764382
OTULIN	0
ANKH	0
LINC02149	0
FBXL7	0
CTD-2350J17.1	0
MARCHF11	0
LOC401176	0
LINC02150	0
ZNF622	0
RETREG1	0
LOC101929524	0
MYO10	0.064032016008004
BASP1-AS1	0
BASP1	0
LINC02111	0
LINC02217	0
LINC02218	0.0212606303151576
H3Y1	0
LINC02223	0
CDH18	0
CDH18-AS1	0
LINC02241	0
GUSBP1	0
CDH12	0
PMCHL1	0
PRDM9	0
C5orf17	0
CDH10	0
LINC02239	0
LINC02228	0
LINC02211	0
CDH9	0
PURPL	0
LINC02103	0
LOC101929645	0.635817908954477
LINC02109	0.0410205102551276
LINC02064	0
LOC105374704	0
CDH6	0
DROSHA	0
C5orf22	0.133566783391696
PDZD2	0
GOLPH3	0
MTMR12	0
ZFR	0
SUB1	0
NPR3	0.0455227613806903
LINC02120	0
LINC02160	0
TARS1	0
ADAMTS12	0
SLC45A2	0
C1QTNF3-AMACR	0
RAI14	0
TTC23L	0
RAD1	0
BRIX1	0
DNAJC21	0
AGXT2	0
PRLR	0.0392696348174087
SPEF2	0
IL7R	0
CAPSL	0
LOC100506406	0
UGT3A1	0.0315157578789395
UGT3A2	0
LMBRD2	0
SKP2	0
NADK2	0
RANBP3L	0
SLC1A3	0
NIPBL-DT	0
NIPBL	0.0132566283141571
CPLANE1	0.0742871435717859
NUP155	0
WDR70	0
GDNF	0
GDNF-AS1	0
LINC02110	0
LINC02107	0
EGFLAM	0.169334667333667
EGFLAM-AS4	0.101800900450225
EGFLAM-AS2	0.55327663831916
LIFR	0
LIFR-AS1	0
OSMR-AS1	0
OSMR	0
RICTOR	0
FYB1	0
C9	0
DAB2	0.0510255127563782
LINC02104	0.298649324662331
LINC00603	0
PTGER4	0
TTC33	0
PRKAA1	0
RPL37	0
CARD6	0.188344172086043
C7	0
MROH2B	0
C6	0
PLCXD3	0.0482741370685343
OXCT1	0
C5orf51	0.0747873936968484
FBXO4	0
LOC101926960	0
GHR	0
CCDC152	0
SELENOP	0
FLJ32255	0
LOC648987	0
LOC100132356	0
LOC100506639	0
ZNF131	0
NIM1K	0.165832916458229
HMGCS1	0
CCL28	0
TMEM267	0
C5orf34	0
PAIP1	0
NNT-AS1	0
NNT	0
FGF10	0
FGF10-AS1	0
LINC02224	0
MRPS30-DT	0
MRPS30	0
HCN1	0
EMB	0.0610305152576288
PARP8	0
LINC02106	0
LOC642366	0
ISL1	0
LINC02118	0
PELO	0.012256128064032
ITGA1	0
ITGA2	0
MOCS2	0
LOC257396	0
FST	0
NDUFS4	0
LINC02105	0
ARL15	0
LINC01033	0
SNX18	0
LOC102467080	0
ESM1	0.115307653826913
GZMK	0.00525262631315658
GZMA	0
CDC20B	0
MCIDAS	0.0380190095047524
DHX29	0
MTREX	0
PLPP1	0
RNF138P1	0
SLC38A9	0
DDX4	0
IL31RA	0
IL6ST	0.0842921460730365
FLJ31104	0
ANKRD55	0
LINC01948	0.331415707853927
C5orf67	0
LOC105378979	0
MAP3K1	0
SETD9	0
MIER3	0
GPBP1	0
ACTBL2	0.126063031515758
