gene1	gene2	PIP
CNTFR-AS1	CLTA	0.017
B4GALT1	FAM122A	0.00333333333333333
DMRT2	OSTF1	0.0285
ZFAND5	SHC3	0.00566666666666667
PTAR1	LOC100129316	0.00666666666666667
CLTA	SPTLC1	0.00266666666666667
LINC00484	FGD3	0.000666666666666667
ANKRD18A	ECPAS	0.0025
TRPM6	ORM2	0.003
LINC01242	ASTN2	0.022
CD274	CRB2	0.005
SAXO1	USP20	0.055
FAM122A	SURF6	0.0145
KCNV2	LOC100130548	0.0128333333333333
CLTA	C9orf116	0.0275
HSD17B3	C9orf116	0.00366666666666667
SPATA6L	DKFZP434A062	0.00816666666666667
PLIN2	CCDC183	0.0211666666666667
ACTL7B	FBXW5	0.0325
CYLC2	DPP7	0.001
SLC31A2	LOC651337	0.0168333333333333
