gene1	gene2	PIP
FOXCUT	SIRT5	0.0335167583791896
TRIM10	HLA-E	0.00950475237618809
H1-6	NFKBIL1	0.0560280140070035
TRIM10	LOC285847	0.0335167583791896
OR12D3	FOXP4	0.0127563781890945
LINC02570	PGC	0.0932966483241621
PIP5K1P1	ZNF318	0.0132566283141571
CUTA	OPN5	0.00850425212606303
OR12D3	TFAP2D	0.00525262631315658
PKHD1	LOC101927136	0.000250125062531266
LOC101927136	SYNCRIP	0.0117558779389695
HCG15	LOC101929057	0.00825412706353177
HCG9	LOC101929057	0.0125062531265633
TSPO2	ARMC2-AS1	0.0117558779389695
KLHL31	ARMC2-AS1	0.012256128064032
H4C5	CEP57L1	0.0625312656328164
LOC101928540	CALHM6	0.00325162581290645
RRAGD	TPD52L1	0.00200100050025012
RPP40	HDDC2	0.0170085042521261
LOC101927136	RNF146	0.064032016008004
SYNCRIP	RNF146	0.0117558779389695
LOC101928540	SOGA3	0.00975487743871936
ADGRF2	SAMD3	0.0400200100050025
ARMC2-AS1	TAAR6	0.0327663831915958
HCG22	VNN3	0.00900450225112556
PIM1	FBXO30-DT	0.139069534767384
TREML3P	GRM1	0.0485242621310655
LINC02535	KATNA1	0.00100050025012506
PRR3	ESR1	0.00850425212606303
OR12D3	LOC105378068	0.0172586293146573
FOXP4	LOC105378068	0.0127563781890945
COX7A2	OSTCP1	0.0382691345672836
VIP	FNDC1	0.00700350175087544
OSTM1	LINC02529	0.00300150075037519
OR10C1	ACAT2	0.023511755877939
RNGTT	MAS1	0.0100050025012506
SYCP2L	AGPAT4	0.0352676338169085
TMEM14C	PACRG-AS2	0.060280140070035
PRR3	C6orf118	0.00950475237618809
HCG11	AFDN	0.0427713856928464
ZNF311	LOC101929460	0.0225112556278139
