gene1	gene2	PIP
ARHGAP11B	LINC02352	0.0192596298149075
ARHGAP11B	PLA2G4E	0.00275137568784392
GOLGA8K	MYEF2	0.101050525262631
CCNDBP1	ATP8B4	0.0372686343171586
SLC12A6	GABPB1-AS1	0.0157578789394697
PPP1R14D	GABPB1-AS1	0.00400200100050025
MAPK6	NEDD4	0.0227613806903452
SEMA6D	LINC00926	0.048024012006003
MYEF2	RPS27L	0.00625312656328164
LINC01852	USP3-AS1	0.00775387693846923
LINC02490	SNX1	0.00300150075037519
MTMR10	IGDCC4	0.0202601300650325
CHRFAM7A	DENND4A	0.0175087543771886
SLC12A6	HEXA-AS1	0.0307653826913457
UBR1	TMEM202-AS1	0.00150075037518759
MAPK6-DT	INSYN1	0.00375187593796898
KLF13	PEAK1	0.0582791395697849
TMCO5A	LINGO1	0.00350175087543772
HIGD2B	CRABP1	0.0080040020010005
USP3-AS1	MINAR1	0.0445222611305653
APH1B	CFAP161	0.0142571285642821
CFAP161	AP3B2	0.000750375187593797
ATP8B4	LOC440300	0.00275137568784392
PWRN1	SCAND2P	0.0102551275637819
PLA2G4F	LINC00052	0.0115057528764382
PSTPIP1	NTRK3	0.032016008004002
TYRO3	ISG20	0.0292646323161581
CELF6	ISG20	0.00950475237618809
INTS14	LINC01197	0.028264132066033
EIF3J-DT	LINC02348	0.0120060030015008
GOLM2	LOC100128108	0.0462731365682841
