genes	pip
ODF3	0
BET1L	0
RIC8A	0
SIRT3	0
PSMD13	0
NLRP6	0
PGGHG	0
IFITM5	0.249124562281141
IFITM3	0
B4GALNT4	0.0172586293146573
PKP3	0
SIGIRR	0
ANO9	0
PTDSS2	0
RNH1	0
LRRC56	0
LMNTD2	0
RASSF7	0
MIR210HG	0.00550275137568784
PHRF1	0
CDHR5	0
DRD4	0
DEAF1	0.118809404702351
TMEM80	0
EPS8L2	0
TALDO1	0
GATD1	0
LOC171391	0
SLC25A22	0
PIDD1	0
PNPLA2	0
CRACR2B	0
CD151	0
TSPAN4	0
CHID1	0.0360180090045022
AP2A2	0
MUC6	0
LINC02688	0
MUC2	0
MUC5AC	0.0100050025012506
MUC5B	0
TOLLIP	0
TOLLIP-AS1	0
BRSK2	0
MOB2	0
DUSP8	0
KRTAP5-AS1	0
KRTAP5-3	0.105052526263132
KRTAP5-4	0
KRTAP5-5	0
FAM99A	0
KRTAP5-6	0.00775387693846923
IFITM10	0
CTSD	0
SYT8	0
TNNI2	0
LSP1	0
LINC01150	0.012256128064032
TNNT3	0
MRPL23	0
MRPL23-AS1	0
IGF2	0
IGF2-AS	0.00500250125062531
INS-IGF2	0
TH	0
MIR4686	0
ASCL2	0
C11orf21	0
TSPAN32	0
CD81-AS1	0
CD81	0
TSSC4	0
TRPM5	0
KCNQ1	0
KCNQ1OT1	0
KCNQ1-AS1	0
KCNQ1DN	0
SLC22A18AS	0
SLC22A18	0.0532766383191596
NAP1L4	0
CARS1	0.0217608804402201
CARS1-AS1	0
OSBPL5	0
MRGPRG-AS1	0
MRGPRE	0.248124062031016
ZNF195	0
TSSC2	0.0792896448224112
OR7E12P	0
LOC105376526	0
LOC101927708	0
LOC115995503	0
TRPC2	0
ART5	0
ART1	0.083791895947974
CHRNA10	0.023511755877939
NUP98	0
PGAP2	0
RHOG	0
STIM1	0
RRM1	0
LINC02749	0.0415207603801901
TRIM21	0
OR52K1	0
OR52I2	0
TRIM68	0
OR51D1	0
OR51E1	0
OR51E2	0
MMP26	0
OR51F1	0.0210105052526263
OR51G2	0
OR51L1	0.00350175087543772
OR52E2	0
OR52E1	0.0867933966983492
OR52A5	0
OR52A1	0
OR52Z1	0
OR51V1	0
HBB	0.0595297648824412
HBD	0
HBBP1	0
HBG1	0
HBG2	0
OR51B4	0
OR51B2	0
OR51B5	0.0542771385692846
OR51Q1	0
OR51I1	0
OR51I2	0
UBQLN3	0
UBQLNL	0.0525262631315658
OLFM5P	0
OR52B6	0
TRIM6	0
TRIM5	0.0527763881940971
TRIM22	0
OR56B1	0
OR52N4	0
OR52N2	0
OR52E6	0
OR52E8	0
OR52E5	0
OR52L1	0
OR56A1	0
OR56B4	0
OR52B2	0
OR52W1	0
FAM160A2	0
CCKBR	0.0330165082541271
CAVIN3	0
APBB1	0
HPX	0
TRIM3	0
ARFIP2	0
DNHD1	0
RRP8	0
ILK	0
TAF10	0
TPP1	0.0325162581290645
DCHS1	0
MRPL17	0
GVINP1	0
OR2AG2	0
OR10A5	0
OR10A2	0
OR2D3	0
ZNF215	0
ZNF214	0.0527763881940971
NLRP14	0
RBMXL2	0
SYT9	0
LOC100506258	0
OLFML1	0
PPFIBP2	0
CYB5R2	0
OVCH2	0
OR5P2	0
LOC283299	0
OR10A3	0
NLRP10	0
EIF3F	0
CASC23	0
TUB	0
TUB-AS1	0
RIC3	0
LMO1	0.00750375187593797
STK33	0
TRIM66	0
RPL27A	0
DENND2B	0
LOC102724784	0
AKIP1	0
C11orf16	0
ASCL3	0
TMEM9B	0.0222611305652826
TMEM9B-AS1	0.000750375187593797
NRIP3	0
SCUBE2	0.0520260130065033
KRT8P41	0.522511255627814
DENND5A	0.00825412706353177
TMEM41B	0
IPO7	0.0175087543771886
ZNF143	0
WEE1	0
SWAP70	0
LINC02709	0
SBF2-AS1	0.131315657828914
SBF2	0
LOC101928008	0
CAND1.11	0.228364182091046
AMPD3	0.0105052526263132
MTRNR2L8	0
RNF141	0
IRAG1-AS1	0
IRAG1	0
CTR9	0.0107553776888444
EIF4G2	0
LOC101928053	0
ZBED5	0
ZBED5-AS1	0.149324662331166
GALNT18	0
CSNK2A3	0
MIR8070	0
USP47	0
DKK3	0
LINC02547	0
MICAL2	0
MICALCL	0
PARVA	0.0225112556278139
TEAD1	0
LINC00958	0.0627813906953477
ARNTL	0.048024012006003
BTBD10	0.0215107553776888
FAR1	0.00325162581290645
LINC02548	0
LINC02545	0.242621310655328
LINC02683	0
SPON1	0
RRAS2	0.0390195097548774
COPB1	0
PSMA1	0
PDE3B	0
CYP2R1	0
CALCA	0
CALCB	0.0552776388194097
INSC	0
LINC02751	0
SOX6	0.0822911455727864
C11orf58	0
PLEKHA7	0
OR7E14P	0
PIK3C2A	0
NUCB2	0
NCR3LG1	0
KCNJ11	0
ABCC8	0
USH1C	0
OTOG	0
MYOD1	0
KCNC1	0.0100050025012506
SERGEF	0
TPH1	0
SAAL1	0
SAA3P	0
MRGPRX3	0
MRGPRX4	0
SLC25A51P4	0
SAA1	0.0137568784392196
HPS5	0
GTF2H1	0
LDHA	0.0417708854427214
LDHC	0
LDHAL6A	0
TSG101	0
UEVLD	0
SPTY2D1OS	0
SPTY2D1	0
TMEM86A	0
IGSF22	0
PTPN5	0
MRGPRX2	0
ZDHHC13	0
CSRP3	0
E2F8	0
NAV2	0.055527763881941
NAV2-AS5	0.0687843921960981
NAV2-AS4	0
NAV2-AS2	0
DBX1	0
HTATIP2	0
PRMT3	0.00900450225112556
SLC6A5	0
NELL1	0
ANO5	0
SLC17A6	0
LINC01495	0
FANCF	0
GAS2	0
SVIP	0
CCDC179	0
LUZP2	0
ANO3	0
ANO3-AS1	0
MUC15	0
SLC5A12	0
FIBIN	0
BBOX1	0
BBOX1-AS1	0
CCDC34	0
LGR4	0
LGR4-AS1	0
LIN7C	0.0745372686343172
BDNF-AS	0
BDNF	0
KIF18A	0
METTL15	0
LINC02546	0
LINC01616	0
ARL14EP	0
MPPED2	0
DCDC1	0
DNAJC24	0
IMMP1L	0
ELP4	0
PAX6	0
PAX6-AS1	0
PAUPAR	0
LOC100506675	0
RCN1	0
WT1	0.0665332666333167
WT1-AS	0
EIF3M	0
CCDC73	0
PRRG4	0
QSER1	0
