genes	pip
LINC02564	0
TUBB8B	0
ROCK1P1	0.0260130065032516
USP14	0.0192596298149075
THOC1	0
COLEC12	0.028264132066033
LINC01925	0.00850425212606303
CETN1	0.0750375187593797
CLUL1	0.0317658829414707
TYMSOS	0.155077538769385
TYMS	0.113306653326663
ENOSF1	0.0352676338169085
YES1	0
ADCYAP1	0.00600300150075038
LINC01904	0.0587793896948474
LINC00470	0.0370185092546273
METTL4	0.1935967983992
NDC80	0.0597798899449725
CBX3P2	0.00450225112556278
SMCHD1	0.064032016008004
EMILIN2	0.146073036518259
LPIN2	0
CHORDC1P4	0.0110055027513757
MYOM1	0
MYL12A	0.196848424212106
LOC104968399	0.210355177588794
MYL12B	0.01975987993997
LINC01895	0
TGIF1	0.0280140070035018
GAPLINC	0.0427713856928464
DLGAP1	0.035767883941971
DLGAP1-AS1	0.0087543771885943
DLGAP1-AS2	0.149824912456228
DLGAP1-AS3	0.00700350175087544
DLGAP1-AS4	0.0370185092546273
DLGAP1-AS5	0.0172586293146573
LINC01892	0
AKAIN1	0.0102551275637819
LINC00526	0.113306653326663
LINC00667	0.0145072536268134
ZBTB14	0
EPB41L3	0.0662831415707854
MIR3976HG	0.0822911455727864
TMEM200C	0.00850425212606303
L3MBTL4	0.00625312656328164
L3MBTL4-AS1	0
LINC01387	0
ARHGAP28	0.0275137568784392
LINC00668	0
LAMA1	0
LOC101927188	0.00375187593796898
LRRC30	0.00200100050025012
LOC112577592	0.282391195597799
PTPRM	0
LOC100192426	0
RAB12	0.00975487743871936
GACAT2	0.0120060030015008
MTCL1	0.0192596298149075
NDUFV2	0.00925462731365683
NDUFV2-AS1	0.0410205102551276
ANKRD12	0
TWSG1	0.0155077538769385
RALBP1	0.0407703851925963
PPP4R1	0
PPP4R1-AS1	0.00150075037518759
RAB31	0.210855427713857
TXNDC2	0.355927963981991
VAPA	0.0445222611305653
LINC01254	0.0892946473236618
APCDD1	0.01975987993997
NAPG	0.0505252626313157
LINC01887	0.0600300150075038
LOC101927410	0.0290145072536268
PIEZO2	0
LINC01928	0.027263631815908
LINC01255	0.000500250125062531
SLC35G4	0
GNAL	0.0552776388194097
CHMP1B	0.0742871435717859
MPPE1	0.0445222611305653
IMPA2	0.00550275137568784
ANKRD62	0.0485242621310655
C18orf61	0.0225112556278139
CIDEA	0
TUBB6	0.023511755877939
AFG3L2	0
PRELID3A	0.101550775387694
LOC105371998	0
SPIRE1	0.0777888944472236
PSMG2	0.0322661330665333
