gene1	gene2	PIP
H2BC15	LY6G6C	0.0188333333333333
MICA	DAAM2-AS1	0.0128333333333333
TMEM170B	CRISP1	0.0136666666666667
ADGRF2	SLC25A51P1	0.00266666666666667
OR10C1	SDHAF4	0.0123333333333333
AARS2	RNGTT	0.00583333333333333
NOL7	BVES	0.0461666666666667
NOL7	OSTM1	0.00283333333333333
TBC1D22B	OSTM1	0.0283333333333333
MICA	MICAL1	0.00833333333333333
GPX6	LINC02534	0.00766666666666667
MTRES1	EPB41L2	0.0103333333333333
DNAH8	LINC00326	0.0126666666666667
ARMC2-AS1	MYB	0.00233333333333333
ID4	ARID1B	0.0105
KPNA5	PACRG-AS2	0.0355
CASC15	LOC102724152	0.0065
LY6G6C	C6orf118	0.003
