gene1	gene2	PIP
ANKRD20A9P	LINC00442	0.0293333333333333
FGF9	CDK8	0.0101666666666667
LINC00426	ALOX5AP	0.00266666666666667
LINC00621	LINC00457	0.0253333333333333
SKA3	POSTN	0.003
TPTE2P1	UFM1	0.00783333333333333
MTIF3	LACC1	0.005
POSTN	RUBCNL	5e-04
SERTM1	OLFM4	0.000666666666666667
LINC00544	LINC01065	0.000333333333333333
CSNK1A1L	DIAPH3-AS1	0.0055
LINC01198	PCDH9-AS3	0.00433333333333333
LINC02338	PCDH9-AS4	0.0151666666666667
LINC00297	KLHL1	0.000666666666666667
VWA8-AS1	KLHL1	0.0125
INTS6	LINC00348	0.018
ANKRD26P3	LINC00392	0.00416666666666667
LINC00424	LINC00381	0.00216666666666667
RNF17	LMO7-AS1	0.0025
ITM2B	LINC00561	0.0055
LHFPL6	MYCBP2	0.00216666666666667
LCP1	SCEL	0.0153333333333333
UFM1	EDNRB-AS1	0.00116666666666667
ATP8A2	RBM26	0.0205
LMO7-AS1	LINC00564	0.0025
LINC00382	LINC00564	0.00166666666666667
TDRD3	LINC00430	0.0025
SACS-AS1	LINC00433	0.0118333333333333
RNASEH2B	GPC5-AS2	0.0025
PCDH9-AS2	GPR180	0.0266666666666667
LINC00373	GPR180	0.0045
MICU2	STK24	0.00216666666666667
ENOX1	UBAC2-AS1	0.00566666666666667
PIBF1	CLYBL-AS1	0.00183333333333333
LOC105370203	ITGBL1	0.0126666666666667
GPC6-AS1	FAM155A-IT1	0.00683333333333333
CPB2	LIG4	0.007
CCDC168	LIG4	5e-04
SLC7A1	LINC02337	0.0015
HTR2A	LOC101928730	0.0133333333333333
KL	LINC01043	0.00633333333333333
METTL21C	TUBGCP3	0.008
CPB2	F10	0.002
C1QTNF9	LOC101928841	0.00366666666666667
SPRYD7	LOC101928841	0.00266666666666667
GUCY1B2	LOC101928841	0.002
