gene1	gene2	PIP
KRT8P41	IPO7	0.0100050025012506
TPP1	SBF2-AS1	0.0325162581290645
ART1	VPS37C	0.0550275137568784
TRIM44	FADS2	0.000750375187593797
TRIM44	TALAM1	0.00450225112556278
FADS2	TALAM1	0.000750375187593797
CELF1	GAL	0.00600300150075038
CARS1	LINC01537	0.0217608804402201
CSTF3-DT	LINC01537	0.110055027513757
TMEM151A	KCNE3	0.0707853926963482
IPO7	POLD3	0.00250125062531266
BBS1	KCTD21	0.00900450225112556
CHKA	LOC101928896	0.00475237618809405
PC	LOC101929295	0.0210105052526263
LOC101928424	LOC102723838	0.00300150075037519
B4GALNT4	RNF214	0.0115057528764382
ARAP1	LOC101929089	0.0237618809404702
CWC15	CXCR5	0.00375187593796898
SAA1	LOC101929208	0.0137568784392196
CAPN1	NTM	0.0347673836918459
