gene1	gene2	PIP
SAMSN1	C21orf91-OT1	0.001
CYP4F29P	LINC01687	0.00266666666666667
LINC00314	LINC01697	0.00116666666666667
CYP4F29P	BACH1-IT3	0.00166666666666667
D21S2088E	GRIK1-AS1	0.0035
CYP4F29P	CLDN8	0.00166666666666667
CHODL-AS1	CLDN8	0.00766666666666667
LINC01549	KRTAP19-7	0.00666666666666667
GRIK1	KRTAP19-7	0.000833333333333333
GRIK1-AS2	KRTAP19-7	0.0015
SAMSN1	KRTAP22-1	0.0275
LINC01697	KRTAP20-1	0.00683333333333333
KRTAP27-1	SCAF4	0.0055
CYYR1-AS1	HUNK	0.0075
LINC01549	LINC00159	0.00833333333333333
SAMSN1	EVA1C	0.00366666666666667
BACH1-IT2	EVA1C	0.001
LINC01674	LINC00945	0.00183333333333333
LINC01549	LOC101928107	0.0106666666666667
EVA1C	TMEM50B	0.00116666666666667
APP	DNAJC28	0.00216666666666667
JAM2	SON	0.001
KRTAP20-1	DONSON	0.00433333333333333
KRTAP20-3	LINC00310	0.0045
HUNK	LINC00310	0.00233333333333333
GRIK1-AS2	RCAN1	0.0025
KRTAP11-1	RUNX1	0.0108333333333333
LINC00113	LOC100506403	0.0148333333333333
KRTAP13-2	LOC100506403	0.00283333333333333
C21orf91-OT1	LOC101928269	0.000333333333333333
LOC110091777	LINC01436	0.00233333333333333
LINC00113	LINC01436	0.00766666666666667
LINC01697	CBR3-AS1	0.00116666666666667
HUNK	CBR3-AS1	0.002
C21orf62-AS1	CHAF1B	0.00616666666666667
LINC02246	CLDN14	0.0186666666666667
TMPRSS15	CLDN14	0.00766666666666667
CBR3-AS1	CLDN14	0.00633333333333333
GRIK1-AS1	RIPPLY3	0.000166666666666667
LINC01683	DYRK1A	0.00116666666666667
LINC00317	DYRK1A	0.004
LINC01692	DSCR8	0.001
D21S2088E	KCNJ15	0.000833333333333333
LINC00314	LINC01423	0.000666666666666667
SAMSN1	ERG	0.000833333333333333
MIR99AHG	ERG	0.002
C21orf62	ERG	0.00116666666666667
LIPI	LINC00114	0.016
RWDD2B	BRWD1	0.001
MAP3K7CL	BRWD1	0.0121666666666667
BACH1	BRWD1	0.002
KCNE2	BRWD1	0.00283333333333333
RIPPLY3	BRWD1	0.0108333333333333
SAMSN1	GET1-SH3BGR	0.0015
MAP3K7CL	GET1-SH3BGR	0.0158333333333333
LINC00310	GET1-SH3BGR	0.0015
ANKRD30BP2	LCA5L	0.000333333333333333
D21S2088E	B3GALT5	0.000833333333333333
CYYR1	B3GALT5	0.00483333333333333
CHAF1B	B3GALT5	0.000166666666666667
D21S2088E	LINC00323	0.000666666666666667
HMGN1	LINC00323	0.00733333333333333
CYYR1-AS1	PLAC4	0.00933333333333333
KRTAP20-3	PLAC4	0.011
MRPS6	PLAC4	0.000333333333333333
DONSON	MX2	0.009
CXADR	TMPRSS2	0.005
SAMSN1	LINC00479	0.00666666666666667
LINC00307	ZBTB21	0.00783333333333333
LINC01689	TFF3	0.00666666666666667
DSCR8	TFF3	0.001
LINC01692	TFF1	0.000833333333333333
GABPA	TFF1	0.0075
