gene1	gene2	PIP
CCT8L2	C22orf39	0.011255627813907
CDC45	TRMT2A	0.00825412706353177
ZNF280B	LINC02556	0.00775387693846923
THAP7-AS1	RGL4	0.00150075037518759
TRMT2A	DDTL	0.00500250125062531
CCDC188	DDTL	0.0332666333166583
TMEM121B	SNRPD3	0.00100050025012506
POM121L10P	ASPHD2	0.0277638819409705
CLTCL1	MIATNB	0.00275137568784392
IGLL5	CCDC117	0.00275137568784392
UPB1	CCDC117	0.0172586293146573
HPS4	PATZ1	0.0185092546273137
VPREB3	LINC01640	0.00600300150075038
TPTEP1	MPST	0.0132566283141571
EIF3D	MIEF1	0.000500250125062531
LOC100507599	MCAT	0.00525262631315658
ZNRF3-AS1	EFCAB6-AS1	0.00700350175087544
THAP7-AS1	PNPLA5	0.00475237618809405
RBFOX2	SMC1B	0.00625312656328164
DMC1	ATXN10	0.00300150075037519
DDTL	WNT7B	0.0125062531265633
CRYBB2P1	WNT7B	0.0142571285642821
GTSE1	IL17REL	0.00200100050025012
ANKRD54	PLXNB2	0.00625312656328164
EWSR1	ODF3B	0.0175087543771886
ZMAT5	KLHDC7B	0.00550275137568784
HORMAD2-AS1	KLHDC7B	0.00300150075037519
