gene1	gene2	PIP
CETN1	EPB41L3	0.00625312656328164
MIR3976HG	TMEM200C	0.00575287643821911
CLUL1	TXNDC2	0.0232616308154077
TMEM200C	LINC01887	0.00275137568784392
LOC112577592	ANKRD62	0.00500250125062531
METTL4	LINC01882	0.0152576288144072
CETN1	PTPN2	0.00300150075037519
SEH1L	LDLRAD4-AS1	0.00675337668834417
LINC01904	CXADRP3	0.0257628814407204
LOC104968399	LINC01443	0.0152576288144072
LINC00526	LINC01443	0.0325162581290645
CEP76	TMEM241	0.00400200100050025
DLGAP1	RMC1	0.00450225112556278
ZNF519	TTC39C-AS1	0.00525262631315658
CABLES1	PSMA8	0.00275137568784392
ENOSF1	DSCAS	0.0322661330665333
GNAL	DSG3	0.0120060030015008
TYMSOS	ZNF396	0.0342671335667834
TYMS	RPRD1A	0.000250125062531266
ESCO1	LINC01902	0.00225112556278139
TXNDC2	LINC01477	0.00625312656328164
CTAGE1	LINC01477	0.00400200100050025
ARHGAP28	KC6	0.0247623811905953
IMPACT	PIK3C3	0.000250125062531266
PIK3C3	LINC01478	0.00775387693846923
NPC1	SLC14A2-AS1	0.0247623811905953
POTEC	C18orf25	0.0072536268134067
ADCYAP1	PIAS2	0.00600300150075038
METTL4	CTIF	0.00200100050025012
DSC3	MBD1	0.00575287643821911
SS18	MAPK4	0.0227613806903452
CEP76	POLI	0.00350175087543772
NDC80	DYNAP	0.00700350175087544
RNF165	RAB27B	0.000250125062531266
SNHG22	TCF4	0.0145072536268134
CETN1	LOC642484	0.00250125062531266
PIK3C3	LOC642484	0.0137568784392196
SPIRE1	ST8SIA3	0.00575287643821911
ANKRD29	NEDD4L	0.00150075037518759
INO80C	NEDD4L	0.00375187593796898
TYMSOS	ALPK2	0.000750375187593797
COLEC12	OACYLP	0.00250125062531266
PCAT18	OACYLP	0.0132566283141571
RAB31	GRP	0.00300150075037519
KATNAL2	CPLX4	0.00200100050025012
DLGAP1-AS5	ZCCHC2	0.00250125062531266
SLC14A2	SERPINB11	0.0150075037518759
CABLES1	SERPINB2	0.0087543771885943
CABYR	LINC01924	0.0325162581290645
RBBP8	LINC01909	0.00125062531265633
INO80C	NETO1	0.00250125062531266
MYL12A	LINC02864	0.00650325162581291
LDLRAD4	LINC02864	0.0175087543771886
CCDC68	LINC02864	0.0080040020010005
LINC00470	DIPK1C	0.0217608804402201
SLC14A2	DIPK1C	0.00200100050025012
SERPINB11	DIPK1C	0.00200100050025012
ATP8B1	TSHZ1	0.00225112556278139
RBBP8	LINC01898	0.00275137568784392
LDLRAD4-AS1	LOC339298	0.00575287643821911
AQP4-AS1	LOC339298	0.00450225112556278
CTIF	LINC01893	0.00125062531265633
LINC02864	LINC01893	0.0132566283141571
HRH4	ZNF516-DT	0.0105052526263132
ZNF532	LINC00908	0.00325162581290645
OSBPL1A	LINC00683	0.00400200100050025
POLI	LINC01927	0.0155077538769385
ZNF519	MBP	0.00525262631315658
TTC39C-AS1	MBP	0.0275137568784392
LOC104968399	SALL3	0.0107553776888444
LOC101927571	HSBP1L1	0.0277638819409705
SETBP1	ADNP2	0.0227613806903452
