genes	pip
POLR3K	0
SNRNP25	0.217608804402201
RHBDF1	0
MPG	0
NPRL3	0.0242621310655328
HBM	0
HBQ1	0.0132566283141571
LUC7L	0
FAM234A	0
RGS11	0
ARHGDIG	0
PDIA2	0.102051025512756
AXIN1	0
MRPL28	0.0230115057528764
PGAP6	0
LOC100134368	0
NME4	0.0905452726363182
DECR2	0
RAB11FIP3	0
CAPN15	0
PRR35	0
PIGQ	0.179089544772386
RAB40C	0
METTL26	0
MCRIP2	0
WDR90	0
RHOT2	0.106053026513257
JMJD8	0
WDR24	0
FBXL16	0
METRN	0
CCDC78	0.1048024012006
HAGHL	0.00225112556278139
CIAO3	0
MSLN	0
RPUSD1	0
CHTF18	0
GNG13	0.01975987993997
PRR25	0
LMF1	0.123811905952976
LMF1-AS1	0
CEROX1	0
SOX8	0
SSTR5-AS1	0.125062531265633
SSTR5	0
C1QTNF8	0
CACNA1H	0.00250125062531266
TPSG1	0.0942971485742871
TPSB2	0
TPSD1	0
UBE2I	0
BAIAP3	0.0415207603801901
TSR3	0
GNPTG	0
UNKL	0
C16orf91	0
PERCC1	0
CCDC154	0
CLCN7	0
PTX4	0
TELO2	0
IFT140	0
TMEM204	0
LOC105371046	0
CRAMP1	0
JPT2	0.0827913956978489
MAPK8IP3	0
MRPS34	0
NUBP2	0
IGFALS	0.0107553776888444
HAGH	0
FAHD1	0.0867933966983492
MEIOB	0
LINC00254	0.00625312656328164
LINC02124	0.0220110055027514
HS3ST6	0
MSRB1	0
RPL3L	0
NDUFB10	0
RPS2	0.0470235117558779
TBL3	0
GFER	0
SYNGR3	0.114807403701851
ZNF598	0
SLC9A3R2	0
NTHL1	0
TSC2	0
PKD1	0
RAB26	0
TRAF7	0
CASKIN1	0.0280140070035018
MLST8	0.0877938969484742
BRICD5	0
PGP	0
E4F1	0.0312656328164082
ECI1	0.043271635817909
RNPS1	0
ABCA3	0
ABCA17P	0
CCNF	0
TEDC2	0.0607803901950975
LOC729652	0
TBC1D24	0.00400200100050025
AMDHD2	0
PDPK1	0
LOC652276	0.0117558779389695
ERVK13-1	0.0105052526263132
KCTD5	0
PRSS27	0
SRRM2-AS1	0
SRRM2	0
ELOB	0.151075537768884
PRSS33	0
PRSS41	0
PRSS21	0.0675337668834417
ZG16B	0
PRSS30P	0.107553776888444
PRSS22	0.149324662331166
FLYWCH2	0.114057028514257
FLYWCH1	0.902951475737869
KREMEN2	0
PKMYT1	0
LINC00514	0
CLDN9	0
CLDN6	0
TNFRSF12A	0
THOC6	0.0667833916958479
LOC100128770	0
MMP25	0
MMP25-AS1	0
IL32	0
ZSCAN10	0.0140070035017509
ZNF205-AS1	0
ZNF205	0
ZNF213-AS1	0.00400200100050025
ZNF213	0
OR1F1	0.0825412706353177
ZNF200	0
MEFV	0.208604302151076
ZNF263	0.012256128064032
TIGD7	0
ZNF75A	0
ZSCAN32	0
ZNF174	0.0610305152576288
ZNF597	0.0577788894447224
NAA60	0.117308654327164
C16orf90	0
CLUAP1	0.0337668834417209
NLRC3	0.0510255127563782
SLX4	0
DNASE1	0.0100050025012506
TRAP1	0.000750375187593797
CREBBP	0
LINC02861	0.00250125062531266
ADCY9	0.0100050025012506
SRL	0.00625312656328164
LINC01569	0.0165082541270635
TFAP4	0.149824912456228
GLIS2	0.0430215107553777
CORO7	0.00475237618809405
VASN	0
DNAJA3	0
NMRAL1	0
HMOX2	0
CDIP1	0
C16orf96	0
UBALD1	0
MGRN1	0
ANKS3	0
C16orf71	0
ZNF500	0.119559779889945
SEPTIN12	0
SMIM22	0
ROGDI	0
GLYR1	0
UBN1	0.0105052526263132
PPL	0
SEC14L5	0.0577788894447224
NAGPA	0
NAGPA-AS1	0
C16orf89	0
ALG1	0.0152576288144072
EEF2KMT	0.00275137568784392
LINC01570	0
MIR8065	0.0072536268134067
RBFOX1	0.0100050025012506
TMEM114	0.0705352676338169
METTL22	0.00125062531265633
ABAT	0
TMEM186	0
PMM2	0
LOC100130283	0
CARHSP1	0
USP7	0.0177588794397199
C16orf72	0
LINC02177	0
LINC01177	0
LINC01195	0
GRIN2A	0
ATF7IP2	0
LINC01290	0
EMP2	0
TEKT5	0.0872936468234117
NUBP1	0
TVP23A	0
CIITA	0
DEXI	0.0332666333166583
CLEC16A	0
PRM3	0
PRM2	0
MIR548H2	0
LOC105371083	0.0185092546273137
RMI2	0
LOC400499	0
LOC101927131	0.0860430215107554
LITAF	0
SNN	0
TXNDC11	0
ZC3H7A	0
BCAR4	0
RSL1D1	0
GSPT1	0
NPIPB2	0
TNFRSF17	0
SNX29	0
CPPED1	0
SHISA9	0
ERCC4	0
LINC02185	0.0535267633816908
LINC02186	0.00850425212606303
MRTFB	0
MIR193BHG	0
LINC02130	0
PARN	0
BFAR	0.00650325162581291
PLA2G10	0.0190095047523762
ABCC6P2	0
NOMO1	0
PKD1P3-NPIPA1	0.0687843921960981
PDXDC1	0
RRN3	0
PKD1P6-NPIPP1	0
NPIPA5	0
MPV17L	0
BMERB1	0
MARF1	0
NDE1	0
MYH11	0
CEP20	0
ABCC1	0
ABCC6	0
NOMO3	0
PKD1P4-NPIPA8	0.0247623811905953
XYLT1	0
LOC102723692	0
NOMO2	0.0770385192596298
ABCC6P1	0.100550275137569
RPS15A	0
ARL6IP1	0
SMG1	0
TMC7	0
LOC102723385	0
COQ7	0
ITPRIPL2	0
SYT17	0
CLEC19A	0
TMC5	0
GDE1	0.232366183091546
CCP110	0
VPS35L	0
KNOP1	0.0667833916958479
IQCK	0.0437718859429715
GPRC5B	0
GPR139	0.0332666333166583
GP2	0
UMOD	0
PDILT	0
ACSM5	0
ACSM2A	0.056528264132066
ACSM2B	0
ACSM1	0
THUMPD1	0
ACSM3	0
ERI2	0.0135067533766883
REXO5	0.0152576288144072
DCUN1D3	0
LYRM1	0
DNAH3	0
TMEM159	0
ZP2	0
ANKS4B	0.0667833916958479
CRYM	0
CRYM-AS1	0.0247623811905953
SNX29P1	0
NPIPB3	0
SMG1P3	0.0215107553776888
LOC101927814	0
METTL9	0.152326163081541
IGSF6	0
OTOA	0
RRN3P1	0
NPIPB4	0.00825412706353177
UQCRC2	0
PDZD9	0.00625312656328164
MOSMO	0.0152576288144072
VWA3A	0.0242621310655328
SDR42E2	0.0487743871935968
EEF2K	0
POLR3E	0
CDR2	0
MFSD13B	0
RRN3P3	0
SMG1P1	0
NPIPB5	0.00400200100050025
OTOAP1	0
HS3ST2	0
USP31	0
SCNN1G	0
SCNN1B	0.03951975987994
COG7	0
GGA2	0.0107553776888444
EARS2	0
UBFD1	0
NDUFAB1	0
PALB2	0
DCTN5	0
PLK1	0
ERN2	0
CHP2	0
PRKCB	0
LINC02194	0.0225112556278139
CACNG3	0
RBBP6	0.0780390195097549
TNRC6A	0.0227613806903452
LINC01567	0
SLC5A11	0
ARHGAP17	0
LINC02175	0
LCMT1-AS1	0.0610305152576288
LCMT1	0
LCMT1-AS2	0
AQP8	0.00125062531265633
ZKSCAN2	0.0472736368184092
HS3ST4	0
C16orf82	0
KDM8	0
NSMCE1	0
NSMCE1-DT	0
IL4R	0
IL21R	0
IL21R-AS1	0.024512256128064
GTF3C1	0
KATNIP	0.0692846423211606
LOC100128079	0.0707853926963482
GSG1L	0
XPO6	0
SBK1	0
NPIPB6	0.00200100050025012
EIF3C	0
CLN3	0
APOBR	0.072536268134067
IL27	0
NUPR1	0
SGF29	0.0525262631315658
SULT1A2	0
SULT1A1	0
NPIPB8	0
NPIPB9	0
ATXN2L	0
SH2B1	0
ATP2A1	0.0897948974487244
