gene1	gene2	PIP
BUB1B	RAD51	0.0293333333333333
PLA2G4E	EPB42	0.0248333333333333
LOC283710	GOLM2	0.0156666666666667
TMEM62	MIR4712	0.0178333333333333
LINC02352	USP8	0.0121666666666667
TMEM62	USP50	0.0266666666666667
MIR4712	LOC101928725	0.0173333333333333
OCA2	RNF111	0.003
USP8	RORA	0.000666666666666667
ATP8B4	IGDCC4	0.00933333333333333
DPH6-DT	PEAK1	0.023
PIAS1	PEAK1	0.0113333333333333
SERF2	EFL1	0.012
LINC00929	C15orf40	0.0085
LINGO1-AS1	BTBD1	0.001
RPS27L	DET1	0.002
RMDN3	MFGE8	0.00216666666666667
GCNT3	MFGE8	0.00116666666666667
ADAMTS7P1	RLBP1	0.021
TUBGCP4	LINC01579	0.0211666666666667
LOC283710	LINC00924	0.0201666666666667
VPS39	LOC101927310	0.0116666666666667
EFL1	LOC101927310	0.00116666666666667
PCLAF	IGF1R	0.00633333333333333
DISP2	SYNM	0.000166666666666667
FAH	HSP90B2P	0.0085
SLC28A1	ASB7	0.00516666666666667
