gene1	gene2	PIP
CASKIN1	MLST8	0.0130065032516258
GNG13	SRL	0.00625312656328164
PDIA2	UBN1	0.00375187593796898
ZNF174	LOC101927131	0.0472736368184092
CASKIN1	LINC02185	0.00275137568784392
PRSS21	PKD1P3-NPIPA1	0.0447723861930965
SNRNP25	GGA2	0.0087543771885943
LINC02124	LOC100128079	0.000250125062531266
LINC02194	CD2BP2	0.00375187593796898
ERI2	CNEP1R1	0.0135067533766883
PHKG2	SNX20	0.0150075037518759
FLYWCH1	LINC02180	0.0202601300650325
OR1F1	LINC02180	0.0610305152576288
VWA3A	GNAO1	0.0117558779389695
LOC643802	GOT2	0.0115057528764382
BBS2	DYNC1LI2	0.0110055027513757
GLIS2	PDP2	0.0310155077538769
NPRL3	ZFP90	0.0150075037518759
BCL7C	TMED6	0.0132566283141571
PRSS22	COG4	0.00925462731365683
COG4	LOC283922	0.0220110055027514
LMF1	TERF2IP	0.00625312656328164
APOBR	LINC02125	0.00275137568784392
LCMT1-AS1	LINC02182	0.0117558779389695
LINC01568	CDT1	0.0317658829414707
GNAO1	AFG3L1P	0.0100050025012506
