gene1	gene2	PIP
LINC02443	ZNF384	0.0085
NDUFA9	STYK1	0.0305
FGD4	ANO6	0.003
C12orf71	KMT2D	0.00266666666666667
PTHLH	TUBA1B	0.00933333333333333
COL2A1	C1QL4	0.0095
LINC02471	KRT8	0.00683333333333333
A2ML1	MON2	0.0115
SLC48A1	LOC100507065	0.0225
LINC02398	LINC02458	0.0085
LINC01479	LINC02458	0.00183333333333333
PCBP2	RMST	0.0373333333333333
KRT74	GOLGA2P5	0.0348333333333333
LINC02458	LINC00485	0.00683333333333333
TMEM52B	CHST11	0.00866666666666667
AEBP2	WSCD2	0.00166666666666667
AAAS	WSCD2	0.00483333333333333
SENP1	UBE3B	0.0111666666666667
RAP1B	PPP1CC	0.0103333333333333
SLC17A8	MAPKAPK5	0.0443333333333333
KMT2D	NAA25	0.0095
ETV6	OAS2	0.0055
BAZ2A	TMEM120B	0.000833333333333333
KRT5	KNTC1	0.00283333333333333
FAM186A	PITPNM2	0.0321666666666667
