gene1	gene2	PIP
TPTEP1	UBE2L3	0.0105
TRMT2A	SDF2L1	0.0246666666666667
LINC00528	LOC107985532	0.0135
CLTCL1	CES5AP1	0.0075
THAP7-AS1	RGL4	0.00483333333333333
MIR650	DDTL	0.00183333333333333
TRMT2A	POM121L10P	0.0108333333333333
PI4KAP2	PIWIL3	0.0223333333333333
C22orf39	IGLL3P	0.00883333333333333
TRMT2A	CRYBB2P1	0.00633333333333333
ZNF280A	HPS4	0.00933333333333333
POM121L10P	LOC100507599	0.0075
VPREB3	LIF	0.0065
MIATNB	LOC105372990	0.000666666666666667
BCRP3	SEC14L3	0.00266666666666667
MIATNB	SEC14L4	0.004
HPS4	GAL3ST1	0.00233333333333333
PIWIL3	LOC107985544	0.00633333333333333
THAP7-AS1	LINC01521	0.00316666666666667
ASPHD2	YWHAH	0.02
SDF2L1	LARGE1	0.00433333333333333
TOP3B	LARGE1	0.00483333333333333
MIATNB	LL22NC01-81G9.3	0.000333333333333333
ASPHD2	IL2RB	0.00633333333333333
TOM1	ELFN2	0.00233333333333333
LINC02556	MICALL1	0.00533333333333333
CDC42EP1	MICALL1	0.0035
NEFH	SLC16A8	0.00383333333333333
RFPL3S	PLA2G6	0.00183333333333333
RFPL3S	FAM83F	0.0208333333333333
TMPRSS6	TOB2	0.00733333333333333
THAP7-AS1	XRCC6	0.0101666666666667
LOC100507599	WBP2NL	0.000833333333333333
SPECC1L-ADORA2A	CYP2D6	0.000333333333333333
ASPHD2	POLDIP3	0.001
CLTCL1	SCUBE1-AS1	0.0025
PIWIL3	EFCAB6	0.00316666666666667
BMS1P20	PNPLA5	0.00533333333333333
SGSM3	PNPLA5	0.00516666666666667
HMOX1	SMC1B	0.00366666666666667
INPP5J	ATXN10	0.0015
MIAT	PRR34-AS1	0.00433333333333333
PI4KAP2	TBC1D22A	0.00883333333333333
POM121L10P	TBC1D22A	0.0163333333333333
LARGE1	SBF1	0.00433333333333333
PLA2G6	ADM2	5e-04
LINC00528	LOC105373100	0.0105
