gene1	gene2	PIP
SACS-AS1	MIPEP	0.0087543771885943
IL17D	C1QTNF9B	0.0162581290645323
MRPL57	SPATA13	0.00300150075037519
ANKRD20A9P	RNF17	0.0072536268134067
LINC00367	USP12-AS2	0.00750375187593797
ANKRD20A9P	FREM2-AS1	0.000750375187593797
EEF1DP3	LINC02341	0.00350175087543772
LRRC63	LINC00563	0.0145072536268134
BRCA2	HTR2A	0.0222611305652826
LINC00426	MED4	0.0127563781890945
RNASEH2B	ALG11	0.0350175087543772
SPART	LINC00358	0.0225112556278139
LINC01075	LINC00383	0.00275137568784392
ENOX1	LOC100288208	0.00225112556278139
LINC01065	COMMD6	0.00475237618809405
HTR2A	LINC00561	0.0242621310655328
PCDH9-AS4	LINC00561	0.00950475237618809
RUBCNL	LOC100129307	0.0187593796898449
LINC00426	LINC00564	0.024512256128064
LINC01065	LINC00564	0.00325162581290645
SUGT1	LINC00379	0.00850425212606303
ANKRD26P3	GPC5	0.0180090045022511
ARL11	LINC00363	0.0962981490745373
MLNR	CLDN10-AS1	0.00250125062531266
RXFP2	DZIP1	0.00900450225112556
EDNRB-AS1	DZIP1	0.011255627813907
TBC1D4	IPO5	0.00375187593796898
LINC00402	LIG4	0.00300150075037519
CCDC168	LIG4	0.0105052526263132
CLYBL-AS1	PRECSIT	0.0145072536268134
ANKRD26P3	ARHGEF7	0.0105052526263132
LINC00347	LINC01044	0.00200100050025012
LINC00374	GRTP1	0.0360180090045022
CLYBL-AS1	GRTP1-AS1	0.0622811405702851
LOC112268117	GRK1	0.00425212606303152
