gene1	gene2	PIP
PHF7	DCP1A	0.0593333333333333
SEMA3F-AS1	NXPE3	0.0305
COL8A1	NFKBIZ	0.000166666666666667
RAD18	TRAT1	0.0255
TRANK1	GTPBP8	0.000166666666666667
GOLGA4	PLA1A	0.00583333333333333
BSN	ACAD9	0.0628333333333333
ZNF654	ACAD9	0.00233333333333333
SUCLG2	LINC00880	0.014
ZBTB20-AS1	TRIM59-IFT80	0.0456666666666667
COPG1	LOC101928739	0.00383333333333333
ZNF619	CCDC39	0.0045
ALCAM	EIF2B5	0.0183333333333333
GTF2E1	EHHADH	0.0586666666666667
TMEM41A	LINC02041	0.0108333333333333
ZNF385D-AS2	LINC02036	0.0311666666666667
CTNNB1	UBXN7	0.00883333333333333
TM4SF1-AS1	NCBP2	0.00283333333333333
SLC41A3	LMLN	5e-04
PROS1	ANKRD18DP	0.0341666666666667
