gene1	gene2	PIP
RAB3C	SMIM15-AS1	0.00500250125062531
EGFLAM-AS4	F2RL1	0.00525262631315658
EGFLAM-AS2	LINC02059	0.0370185092546273
LINC02104	NR2F1	0.0222611305652826
LINC02213	LINC01023	0.0972986493246623
LINC02213	SEMA6A-AS1	0.0562781390695348
LINC01023	SEMA6A-AS1	0.0562781390695348
C5orf51	LINC02148	0.0520260130065033
LINC01948	LINC01170	0.0737868934467234
LOC105374620	SAR1B	0.0595297648824412
LINC02104	KLHL3	0.0072536268134067
IL4	TMCO6	0.00775387693846923
OCLN	PCDHAC1	0.00575287643821911
SLC27A6	PPP2R2B	0.00450225112556278
TMCO6	ADRB2	0.0450225112556278
MARCHF3	PDE6A	0.0342671335667834
SEC24A	CSF1R	0.00275137568784392
IL4	MFAP3	0.0162581290645323
TMCO6	MFAP3	0.00775387693846923
LOC105374620	RNF145	0.0110055027513757
SAR1B	RNF145	0.0110055027513757
HAVCR1	PANK3	0.0365182591295648
MYOZ3	GABRP	0.0240120060030015
LOC101929645	LINC01944	0.0275137568784392
ELOVL7	NEURL1B	0.00850425212606303
NR3C1	RPL26L1	0.0295147573786893
DCTN4	SIMC1	0.0492746373186593
RGMB	RNF44	0.0115057528764382
EGFLAM-AS4	EIF4E1B	0.00475237618809405
F2RL1	EIF4E1B	0.00475237618809405
LINC01187	PDLIM7	0.0102551275637819
ECSCR	ZFP2	0.00175087543771886
ADGRV1	RACK1	0.0222611305652826
LINC01455	TRIM52-AS1	0.0250125062531266
