gene1	gene2	PIP
LOC100130207	SLC6A6	0.107053526763382
SSUH2	ACVR2B-AS1	0.0667833916958479
TMPPE	TGM4	0.00825412706353176
ACKR2	SLC25A20	0.032016008004002
CX3CR1	RAD54L2	0.0105052526263132
LRRC2	HESX1	0.0120060030015008
TRIM71	FLNB-AS1	0.00350175087543772
FOXP1-AS1	PDZRN3	0.0200100050025013
RASSF1	CADM2-AS2	0.0120060030015008
PPP4R2	CHMP2B	0.0142571285642821
LOC101928135	TMEM45A	0.00675337668834417
LOC100130207	RETNLB	0.0407703851925963
CHL1-AS2	UPK1B	0.000250125062531266
SATB1-AS1	CCDC58	0.128314157078539
FSTL1	EEFSEC	0.0182591295647824
ABHD10	LINC01565	0.00500250125062531
LRRC2	COPG1	0.000750375187593797
TTC21A	H1-10	0.0577788894447224
NXPE3	CPNE4	0.0110055027513757
FAM3D	HPS3	0.00825412706353177
LINC00692	GMPS	0.0117558779389695
FAM3D	GNB4	0.0115057528764382
SSUH2	MRPL47	0.00100050025012506
ACVR2B-AS1	MRPL47	0.00100050025012506
VEPH1	LINC02053	0.0217608804402201
SETD5	EIF4G1	0.000750375187593797
KALRN	EIF4G1	0.020760380190095
LOC101928135	MAP3K13	0.00675337668834417
TMEM45A	MAP3K13	0.0330165082541271
DPPA2	NMRAL2P	0.0365182591295648
NGLY1	DNAJB11	0.0222611305652826
FAM3D	HRG	0.0125062531265633
GNB4	HRG	0.0115057528764382
SEC13	ADIPOQ-AS1	0.01975987993997
LOC101929130	LINC02037	0.0365182591295648
TMEM212	RUBCN	0.0202601300650325
CTNNB1	ANKRD18DP	0.0467733866933467
HGD	ANKRD18DP	0.0130065032516258
