gene1	gene2	PIP	chr
HSPB7	RHBDL2	0.00566666666666667	1
PODN	SLC1A7	0.0493333333333333	1
RNU5E-1	PDE4B	0.00716666666666667	1
TRIT1	NEXN	0.0611666666666667	1
HSPG2	ECM1	0.0406666666666667	1
ROR1-AS1	BCAN	0.048	1
PLEKHG5	ASTN1	0.037	1
S100A8	PTGS2	0.0831666666666667	1
LINC01461	FCMR	0.0203333333333333	1
HMGCS2	SDE2	0.0123333333333333	1
TGFB2-OT1	C1orf131	0.00333333333333333	1
LINC01250	RSAD2	0.0313333333333333	2
LOC105374389	LINC01913	0.0106666666666667	2
BMP10	GGCX	0.00516666666666667	2
LINC02613	ANKRD20A8P	0.0085	2
LOC105374820	TMEM182	0.00233333333333333	2
ETAA1	PANTR1	0.00416666666666667	2
PNPT1	DAW1	0.004	2
LINC01964	B3GNT7	0.0206666666666667	2
LINC02580	EFHD1	0.0198333333333333	2
LINC01964	TARDBPP3	0.0105	2
INPP5D	TARDBPP3	5e-04	2
LOC442028	LINC01940	0.01	2
GACAT3	STK25	0.008	2
PHF7	DCP1A	0.0593333333333333	3
SEMA3F-AS1	NXPE3	0.0305	3
COL8A1	NFKBIZ	0.000166666666666667	3
RAD18	TRAT1	0.0255	3
TRANK1	GTPBP8	0.000166666666666667	3
GOLGA4	PLA1A	0.00583333333333333	3
BSN	ACAD9	0.0628333333333333	3
ZNF654	ACAD9	0.00233333333333333	3
SUCLG2	LINC00880	0.014	3
ZBTB20-AS1	TRIM59-IFT80	0.0456666666666667	3
COPG1	LOC101928739	0.00383333333333333	3
ZNF619	CCDC39	0.0045	3
ALCAM	EIF2B5	0.0183333333333333	3
GTF2E1	EHHADH	0.0586666666666667	3
TMEM41A	LINC02041	0.0108333333333333	3
ZNF385D-AS2	LINC02036	0.0311666666666667	3
CTNNB1	UBXN7	0.00883333333333333	3
TM4SF1-AS1	NCBP2	0.00283333333333333	3
SLC41A3	LMLN	5e-04	3
PROS1	ANKRD18DP	0.0341666666666667	3
BST1	SPINK2	0.00533333333333333	4
LOC101928306	SCARB2	0.0218333333333333	4
RCHY1	CDS1	0.00466666666666667	4
USP17L19	C4orf54	0.00716666666666667	4
LINC02261	LOC101929577	0.026	4
C4orf54	SMIM43	0.0241666666666667	4
MTHFD2L	PP12613	0.022	4
LDB2	LARP1B	0.0115	4
LINC02263	LOC101927516	0.00833333333333333	4
MTHFD2L	LSM6	0.016	4
LINC02261	FGG	0.0146666666666667	4
FBXW7	FGG	0.0208333333333333	4
DCHS2	NEK1	0.0116666666666667	4
TEC	CEP44	0.00933333333333333	4
SLAIN2	ZFP42	0.0145	4
MIER3	ELOVL7	0.000833333333333333	5
TENT4A	FAM169A	0.00983333333333333	5
TENT4A	CKMT2	0.000833333333333333	5
LOC105379030	LINC02201	0.0278333333333333	5
CETN3	LINC02240	0.0035	5
LINC01386	CAMLG	0.0025	5
OSMR	TIFAB	0.00716666666666667	5
BRD9	MYOT	0.0165	5
LOC100506688	SPATA24	0.00483333333333333	5
MIER3	PCDHGA12	0.000666666666666667	5
SLC12A2	PCDHGA12	0.0505	5
PCDHGA12	PRELID2	0.00133333333333333	5
SCGB3A2	SLC6A7	0.02	5
ACSL6	CAMK2A	0.004	5
LINC02213	GM2A	0.008	5
LINC02104	GLRA1	0.0148333333333333	5
EGFLAM	LOC100288254	0.0168333333333333	5
IL4	LINC01942	0.00316666666666667	5
GDNF-AS1	RNF44	0.0433333333333333	5
NR3C1	RNF44	0.0256666666666667	5
LOC101929645	ZNF454	0.00966666666666667	5
H2BC15	LY6G6C	0.0188333333333333	6
MICA	DAAM2-AS1	0.0128333333333333	6
TMEM170B	CRISP1	0.0136666666666667	6
ADGRF2	SLC25A51P1	0.00266666666666667	6
OR10C1	SDHAF4	0.0123333333333333	6
AARS2	RNGTT	0.00583333333333333	6
NOL7	BVES	0.0461666666666667	6
NOL7	OSTM1	0.00283333333333333	6
TBC1D22B	OSTM1	0.0283333333333333	6
MICA	MICAL1	0.00833333333333333	6
GPX6	LINC02534	0.00766666666666667	6
MTRES1	EPB41L2	0.0103333333333333	6
DNAH8	LINC00326	0.0126666666666667	6
ARMC2-AS1	MYB	0.00233333333333333	6
ID4	ARID1B	0.0105	6
KPNA5	PACRG-AS2	0.0355	6
CASC15	LOC102724152	0.0065	6
LY6G6C	C6orf118	0.003	6
MGC4859	ELMO1-AS1	0.002	7
LINC02888	GCK	0.0276666666666667	7
MINDY4	VWC2	0.0236666666666667	7
GSDME	DDC	0.0403333333333333	7
AQP1	DDC-AS1	0.0196666666666667	7
AVL9	POM121C	0.00966666666666667	7
IGF2BP3	CROT	0.0141666666666667	7
DDC-AS1	ARPC1B	0.00633333333333333	7
ASL	ARPC1B	0.008	7
GJC3	PCOLCE-AS1	0.02	7
POM121C	TFR2	0.00983333333333333	7
NPC1L1	BMT2	0.00933333333333333	7
TMEM196	ST7	0.014	7
ABCB4	ASZ1	0.023	7
TFR2	CFTR	0.00733333333333333	7
LHFPL3	MESTIT1	0.0276666666666667	7
PNPLA8	PTN	0.0146666666666667	7
SNX10	KDM7A	0.001	7
CUX1	TAS2R3	0.0045	7
HOXA-AS2	CLEC5A	0.00983333333333333	7
CAV2	TRPV5	0.0408333333333333	7
POR	TAS2R40	0.00116666666666667	7
LOC101929128	LOC101929269	0.0191666666666667	8
FGF20	LINC02153	0.00266666666666667	8
LOC101927752	DOK2	0.00466666666666667	8
C8orf74	BMP1	0.015	8
HR	LINC01605	0.000666666666666667	8
LOC389641	LINC01605	0.00533333333333333	8
GINS4	DKK4	0.028	8
LOC101928058	CLVS1	0.0025	8
TRAM1	TERF1	0.00233333333333333	8
BIN3	FABP9	0.0108333333333333	8
NRG1	CNGB3	0.0106666666666667	8
LOC102723313	CNBD1	0.006	8
RPS20	CNBD1	0.0101666666666667	8
NRG1-IT1	CPQ	0.000833333333333333	8
FGFR1	RGS22	0.012	8
LOC101926908	RGS22	0.000833333333333333	8
BMP1	SNX31	0.009	8
CDCA2	ZNF706	0.00616666666666667	8
LOC101927752	GRHL2	0.00583333333333333	8
C8orf89	ODF1	0.0405	8
BLK	ATP6V1C1	0.000666666666666667	8
XKR5	RSPO2	0.0193333333333333	8
LINC01301	LOC100132813	0.0288333333333333	8
LOC100507156	MAL2-AS1	0.0213333333333333	8
SLC35G5	COL14A1	0.0065	8
TDH	COL14A1	0.0196666666666667	8
ZBTB10	FBXO32	0.0126666666666667	8
SLC30A8	TMEM65	0.000666666666666667	8
SNX16	NDUFB9	0.0015	8
VXN	PRNCR1	0.0115	8
LINC02209	CASC21	0.0486666666666667	8
DSCC1	CYRIB	0.0055	8
LINC01151	KHDRBS3	0.014	8
STAR	LINC02055	0.0205	8
TNFRSF11B	KCNK9	0.00266666666666667	8
PRDM14	ADGRB1	0.00333333333333333	8
LOC101928095	LINC02878	0.0156666666666667	8
TTPA	OPLAH	0.0488333333333333	8
LINC02605	OPLAH	0.0461666666666667	8
LINC01605	CYC1	0.0745	8
ZBTB10	SHARPIN	0.00216666666666667	8
DEFB1	MFSD3	0.00266666666666667	8
LOC101929294	RECQL4	0.00566666666666667	8
EIF3H	LRRC14	0.0186666666666667	8
CNTFR-AS1	CLTA	0.017	9
B4GALT1	FAM122A	0.00333333333333333	9
DMRT2	OSTF1	0.0285	9
ZFAND5	SHC3	0.00566666666666667	9
PTAR1	LOC100129316	0.00666666666666667	9
CLTA	SPTLC1	0.00266666666666667	9
LINC00484	FGD3	0.000666666666666667	9
ANKRD18A	ECPAS	0.0025	9
TRPM6	ORM2	0.003	9
LINC01242	ASTN2	0.022	9
CD274	CRB2	0.005	9
SAXO1	USP20	0.055	9
FAM122A	SURF6	0.0145	9
KCNV2	LOC100130548	0.0128333333333333	9
CLTA	C9orf116	0.0275	9
HSD17B3	C9orf116	0.00366666666666667	9
SPATA6L	DKFZP434A062	0.00816666666666667	9
PLIN2	CCDC183	0.0211666666666667	9
ACTL7B	FBXW5	0.0325	9
CYLC2	DPP7	0.001	9
SLC31A2	LOC651337	0.0168333333333333	9
IDI2	UCMA	0.000333333333333333	10
ADARB2-AS1	SVIL-AS1	0.0296666666666667	10
NET1	CREM	0.011	10
PFKP	CCNY	0.000166666666666667	10
MLLT10	LOC283028	0.00666666666666667	10
LINC00708	ZNF22-AS1	0.0321666666666667	10
RBM17	OIT3	0.0186666666666667	10
HERC4	KCNMA1-AS3	0.033	10
FRMD4A	TMEM254	0.00333333333333333	10
FAM171A1	C10orf99	0.00416666666666667	10
MYOZ1	SHLD2	0.00116666666666667	10
UCMA	ANKRD22	0.057	10
FRMD4A	CYP26C1	0.00333333333333333	10
TMEM254	CYP26C1	0.0185	10
SFMBT2	PI4K2A	0.00333333333333333	10
STAM	ABCC2	0.000833333333333333	10
LOC105378311	DPCD	0.00116666666666667	10
BMS1P2-AGAP9	TRIM8	0.00366666666666667	10
SUV39H2	ITPRIP	0.0075	10
RBM17	ADRA2A	0.00716666666666667	10
REEP3	RAB11FIP2	0.00866666666666667	10
IFIT1B	RAB11FIP2	0.0153333333333333	10
LOXL4	PLPP4	0.0156666666666667	10
NPFFR1	WDR11	0.00633333333333333	10
ZEB1-AS1	C10orf90	0.0025	10
CYP26C1	MGMT	0.0113333333333333	10
WDR37	TUBGCP2	0.018	10
SH3PXD2A-AS1	MTG1	0.0136666666666667	10
OR5M9	TNKS1BP1	0.017	11
KRT8P41	GLYATL2	0.00433333333333333	11
TCP11L1	LRRN4CL	0.0203333333333333	11
TMEM41B	OTUB1	0.0263333333333333	11
FAM99A	MAP4K2	0.0415	11
RPL27A	TBX10	0.0131666666666667	11
TRAF6	LINC01537	0.0123333333333333	11
FIBIN	RAB30-DT	0.0153333333333333	11
NDUFC2-KCTD14	FZD4-DT	0.0025	11
MIR670HG	LOC102723838	0.00483333333333333	11
RHOG	CARD16	0.0406666666666667	11
PLEKHA7	MSANTD4	0.00333333333333333	11
CCDC73	PPP2R1B	0.0515	11
LINC02548	C11orf1	0.00866666666666667	11
SART1	DSCAML1	0.0766666666666667	11
B3GNT6	JAML	0.00183333333333333	11
LINC02746	PHLDB1	0.0283333333333333	11
USP35	PATE1	0.022	11
RPLP0P2	LINC02873	0.0111666666666667	11
MSANTD4	LOC100507548	0.00116666666666667	11
LINC02443	ZNF384	0.0085	12
NDUFA9	STYK1	0.0305	12
FGD4	ANO6	0.003	12
C12orf71	KMT2D	0.00266666666666667	12
PTHLH	TUBA1B	0.00933333333333333	12
COL2A1	C1QL4	0.0095	12
LINC02471	KRT8	0.00683333333333333	12
A2ML1	MON2	0.0115	12
SLC48A1	LOC100507065	0.0225	12
LINC02398	LINC02458	0.0085	12
LINC01479	LINC02458	0.00183333333333333	12
PCBP2	RMST	0.0373333333333333	12
KRT74	GOLGA2P5	0.0348333333333333	12
LINC02458	LINC00485	0.00683333333333333	12
TMEM52B	CHST11	0.00866666666666667	12
AEBP2	WSCD2	0.00166666666666667	12
AAAS	WSCD2	0.00483333333333333	12
SENP1	UBE3B	0.0111666666666667	12
RAP1B	PPP1CC	0.0103333333333333	12
SLC17A8	MAPKAPK5	0.0443333333333333	12
KMT2D	NAA25	0.0095	12
ETV6	OAS2	0.0055	12
BAZ2A	TMEM120B	0.000833333333333333	12
KRT5	KNTC1	0.00283333333333333	12
FAM186A	PITPNM2	0.0321666666666667	12
ANKRD20A9P	LINC00442	0.0293333333333333	13
FGF9	CDK8	0.0101666666666667	13
LINC00426	ALOX5AP	0.00266666666666667	13
LINC00621	LINC00457	0.0253333333333333	13
SKA3	POSTN	0.003	13
TPTE2P1	UFM1	0.00783333333333333	13
MTIF3	LACC1	0.005	13
POSTN	RUBCNL	5e-04	13
SERTM1	OLFM4	0.000666666666666667	13
LINC00544	LINC01065	0.000333333333333333	13
CSNK1A1L	DIAPH3-AS1	0.0055	13
LINC01198	PCDH9-AS3	0.00433333333333333	13
LINC02338	PCDH9-AS4	0.0151666666666667	13
LINC00297	KLHL1	0.000666666666666667	13
VWA8-AS1	KLHL1	0.0125	13
INTS6	LINC00348	0.018	13
ANKRD26P3	LINC00392	0.00416666666666667	13
LINC00424	LINC00381	0.00216666666666667	13
RNF17	LMO7-AS1	0.0025	13
ITM2B	LINC00561	0.0055	13
