gene1	gene2	PIP
LINC01814	SUPT7L	0.0087543771885943
ADI1	LINC01795	0.0860430215107554
SILC1	SERTAD2	0.0532766383191596
OXER1	GKN1	0.0130065032516258
LINC00309	LINC01143	0.0080040020010005
GFPT1	DUSP11	0.0340170085042521
LOC100505774	TGOLN2	0.0695347673836918
MIR4262	POLR1B	0.00125062531265633
LINC01810	SLC20A1	0.0472736368184092
ATP6V1C2	FAM168B	0.0130065032516258
TTL	ACVR1	0.0140070035017509
LINC02612	RAPGEF4	0.0187593796898449
DPYSL5	ATP5MC3	0.00900450225112556
C2orf42	DUSP19	0.0757878939469735
LOC101929532	STK17B	0.0212606303151576
REG3A	ANKRD44-IT1	0.00375187593796898
CLK1	SUMO1	0.0457728864432216
C2orf42	INO80D	0.0370185092546273
DUSP19	INO80D	0.0370185092546273
ANKRD20A8P	IDH1	0.0457728864432216
FSHR	IDH1-AS1	0.023511755877939
SEMA4C	KANSL1L-AS1	0.0110055027513757
HIBCH	KANSL1L-AS1	0.125812906453227
COMMD1	VWC2L-IT1	0.139319659829915
MARCO	RNF25	0.0505252626313157
GACAT3	RHBDD1	0.000250125062531266
LINC01806	ARMC9	0.00125062531265633
LINC01854	UGT1A4	0.0175087543771886
CDCA7	SEPTIN2	0.0510255127563782
ATP5MC3	STK25	0.0342671335667834
PSD4	GAL3ST2	0.0145072536268134
SLC20A1	LINC01880	0.0190095047523762
