gene1	gene2	PIP
TMEM106B	CHN2-AS1	0.0295147573786893
RADIL	RP9	0.0710355177588794
CCZ1B	AOAH	0.0200100050025013
KLHL7	COBL	0.0142571285642821
C7orf65	GSAP	0.0185092546273137
HECW1	GRM3	0.0175087543771886
WIPF3	CYP51A1	0.00250125062531266
TMEM184A	PON3	0.0375187593796898
TMEM196	DYNC1I1	0.0195097548774387
FAM126A	OCM2	0.00850425212606303
C7orf69	MYH16	0.0440220110055028
AZGP1P1	MUC12-AS1	0.0382691345672836
BCL7B	LINC01392	0.000500250125062531
HECW1	PTPRZ1	0.0175087543771886
GRM3	PTPRZ1	0.0662831415707854
LHFPL3	NDUFA5	0.0140070035017509
GLI3	POT1	0.0285142571285643
RSBN1L	KCP	0.0907953976988494
STX1A	HIPK2	0.00500250125062531
ABCB4	KDM7A	0.0147573786893447
CUX1	SSBP1	0.0370185092546273
RAC1	PRSS58	0.0417708854427214
LMTK2	OR6V1	0.0347673836918459
MPP6	OR2F2	0.036768384192096
TMEM196	OR2A25	0.00950475237618809
EIF3B	REPIN1	0.00300150075037519
COA1	ZNF775	0.051775887943972
DAGLB	HTR5A-AS1	0.00375187593796898
ABCB4	CNPY1	0.0855427713856928
LINC01392	NOM1	0.0552776388194097
