gene1	gene2	PIP
LOC101929128	LOC101929269	0.0191666666666667
FGF20	LINC02153	0.00266666666666667
LOC101927752	DOK2	0.00466666666666667
C8orf74	BMP1	0.015
HR	LINC01605	0.000666666666666667
LOC389641	LINC01605	0.00533333333333333
GINS4	DKK4	0.028
LOC101928058	CLVS1	0.0025
TRAM1	TERF1	0.00233333333333333
BIN3	FABP9	0.0108333333333333
NRG1	CNGB3	0.0106666666666667
LOC102723313	CNBD1	0.006
RPS20	CNBD1	0.0101666666666667
NRG1-IT1	CPQ	0.000833333333333333
FGFR1	RGS22	0.012
LOC101926908	RGS22	0.000833333333333333
BMP1	SNX31	0.009
CDCA2	ZNF706	0.00616666666666667
LOC101927752	GRHL2	0.00583333333333333
C8orf89	ODF1	0.0405
BLK	ATP6V1C1	0.000666666666666667
XKR5	RSPO2	0.0193333333333333
LINC01301	LOC100132813	0.0288333333333333
LOC100507156	MAL2-AS1	0.0213333333333333
SLC35G5	COL14A1	0.0065
TDH	COL14A1	0.0196666666666667
ZBTB10	FBXO32	0.0126666666666667
SLC30A8	TMEM65	0.000666666666666667
SNX16	NDUFB9	0.0015
VXN	PRNCR1	0.0115
LINC02209	CASC21	0.0486666666666667
DSCC1	CYRIB	0.0055
LINC01151	KHDRBS3	0.014
STAR	LINC02055	0.0205
TNFRSF11B	KCNK9	0.00266666666666667
PRDM14	ADGRB1	0.00333333333333333
LOC101928095	LINC02878	0.0156666666666667
TTPA	OPLAH	0.0488333333333333
LINC02605	OPLAH	0.0461666666666667
LINC01605	CYC1	0.0745
ZBTB10	SHARPIN	0.00216666666666667
DEFB1	MFSD3	0.00266666666666667
LOC101929294	RECQL4	0.00566666666666667
EIF3H	LRRC14	0.0186666666666667
