genes	pip
PLPP2	0
MIER2	0
THEG	0
C2CD4C	0
SHC2	0
ODF3L2	0
MADCAM1	0
TPGS1	0
CDC34	0
GZMM	0
BSG	0
HCN2	0
POLRMT	0
FGF22	0
RNF126	0
FSTL3	0
PRSS57	0
PALM	0
MISP	0
PTBP1	0.0345172586293147
PLPPR3	0
AZU1	0.135567783891946
PRTN3	0.0730365182591296
ELANE	0
CFD	0
MED16	0
R3HDM4	0
KISS1R	0
ARID3A	0
WDR18	0
GRIN3B	0
TMEM259	0
CNN2	0
ABCA7	0
ARHGAP45	0
POLR2E	0
GPX4	0
SBNO2	0
STK11	0
CBARP	0
ATP5F1D	0
MIDN	0
CIRBP-AS1	0
EFNA2	0
PWWP3A	0
NDUFS7	0
GAMT	0
DAZAP1	0
APC2	0
C19orf25	0
PCSK4	0
REEP6	0.00375187593796898
ADAMTSL5	0
PLK5	0.138069034517259
MEX3D	0.000250125062531266
MBD3	0
UQCR11	0
TCF3	0
ONECUT3	0
ATP8B3	0.11255627813907
REXO1	0
KLF16	0
ABHD17A	0
ADAT3	0
SCAMP4	0
CSNK1G2	0
CSNK1G2-AS1	0
BTBD2	0.0402701350675338
MKNK2	0
MOB3A	0
IZUMO4	0
AP3D1	0.225612806403202
DOT1L	0
SF3A2	0
AMH	0
JSRP1	0
OAZ1	0
PEAK3	0
LINGO3	0
LSM7	0
SPPL2B	0
TMPRSS9	0
TIMM13	0
LMNB2	0
LINC01775	0
GADD45B	0.071535767883942
GNG7	0
DIRAS1	0
SLC39A3	0
SGTA	0
THOP1	0.00375187593796898
ZNF554	0
ZNF555	0
ZNF556	0
ZNF57	0.0317658829414707
ZNF77	0
TLE6	0
TLE2	0
TLE5	0
GNA11	0
GNA15	0
LOC100996351	0
S1PR4	0
NCLN	0
CELF5	0
NFIC	0
SMIM24	0
DOHH	0.0870435217608804
FZR1	0
C19orf71	0.0917958979489745
MFSD12	0.0962981490745373
HMG20B	0
GIPC3	0
TBXA2R	0
CACTIN	0.0232616308154077
PIP5K1C	0
TJP3	0
ZFR2	0
NMRK2	0
PIAS4	0
ZBTB7A	0
MAP2K2	0
CREB3L3	0
SIRT6	0
ANKRD24	0
EBI3	0
YJU2	0
SHD	0
TMIGD2	0
FSD1	0
STAP2	0
MPND	0.0797898949474737
SH3GL1	0
