chrs	pip
chr1	0.959229614807404
chr2	0.697098549274637
chr3	0.868184092046023
chr4	0.876438219109555
chr5	0.924712356178089
chr6	0.819159579789895
chr7	0.882191095547774
chr8	0.865182591295648
chr9	0.921210605302651
chr10	0.943971985992996
chr11	0.943471735867934
chr12	0.908704352176088
chr13	0.817908954477239
chr14	0.725862931465733
chr15	0.762381190595298
chr16	0.774137068534267
chr17	0.912456228114057
chr18	0.817158579289645
chr19	0.965482741370685
chr20	0.874437218609305
chr21	0.571785892946473
chr22	0.64432216108054
